uri,date_status,window_years,dates,citation,candidate_people,contributions,subject_labels
http://www.sudoc.fr/267031513/id,catalogued_year_in_window,2022,2022,"La voix du socialisme  / Jean Jaurès  ; édition établie par Marion Fontaine, Alain Chatriot, Fabien Conord... [et al.] / Paris : Fayard , DL 2022",Marion Fontaine,http://www.idref.fr/148532616/id edt,Guerre et socialisme; Politique et gouvernement -- France -- 1870-1914; Socialisme
http://www.sudoc.fr/267211295/id,catalogued_year_in_window,2023,2023,"L'épreuve des frontières sociales  / sous la direction de Marion Fontaine & Emmanuel Pedler / Paris : Éditions de l'École des hautes études en sciences sociales , DL 2023",Marion Fontaine,http://www.idref.fr/148532616/id pbd,Classes sociales; Anthropologie; Diversité culturelle; Géographie sociale
http://www.sudoc.fr/267510438/id,catalogued_year_in_window,2022,2022,"Missions and preaching  : connected and decompartmentalised perspectives from the Middle East and North Africa (19th-21st century)  / edited by Norig Neveu, Karène Sanchez Summerer, Annalaura Turiano / Leiden : Brill , [2022]",Annalaura Turiano,http://www.idref.fr/198374852/id pbd,Missions
http://www.sudoc.fr/267535511/id,catalogued_year_in_window,2023,2023,"Les romantiques  : l'Angleterre à l'âge des révolutions  / E.P. Thompson  ; introduction et traduction de Marion Leclair et Edward Lee-Six / Paris : les éditions sociales , 2023",E. P. Thompson,http://www.idref.fr/027162028/id aut,Politique et littérature; Grande-Bretagne -- 1714-1837; Mouvements contestataires; Littérature et révolution; Romantisme -- Grande-Bretagne; Vie intellectuelle -- Grande-Bretagne -- 18e siècle; Vie intellectuelle -- Grande-Bretagne -- 19e siècle
http://www.sudoc.fr/26788219X/id,catalogued_year_in_window,2022,2022,"Four hundred souls  : a community history of African America, 1619-2019  / edited by Ibram X. Kendi and Keisha N. Blain/ One World trade paperback edition. / New York : One World , 2022",Keisha N. Blain,http://www.idref.fr/234104791/id pbd,États-Unis; Noires américaines
http://www.sudoc.fr/268462844/id,catalogued_year_in_window,2023,2023,"Jean Jaurès ou Le pari de l'éducation  / sous la direction de Gilles Candar et Rémy Pech  ; avec les contributions de Rémy Cazals, Guy Dreux, Jean-Michel Ducomte... [et al.] / Toulouse : Privat , DL 2023",Rémy Cazals,http://www.idref.fr/026773546/id aut,"Laïcité; Éducation et État; Jaurès, Jean (1859-1914); Éducation à la citoyenneté; Éducation; Ouvrages de vulgarisation; Livres documentaires"
http://www.sudoc.fr/268721092/id,catalogued_year_in_window,2022,2022,"Lectures / Paris : Société d'études jaurésiennes , 2022",Marion Fontaine,http://www.idref.fr/148532616/id pbd,"Jaurès, Jean (1859-1914); Pensée politique et sociale"
http://www.sudoc.fr/270171150/id,catalogued_year_in_window,2023,2023,"Dialogues autour du patrimoine  : l'histoire, un enjeu de communication ?  / Jessica de Bideran, Julie Deramond, Patrick Fraysse (dir.)  ; Mélanie Bourdaa, Elsa Cavalié, Rémy Cazals... [et autres] / Avignon : Éditions universitaires d'Avignon , DL 2023",Rémy Cazals; Marion Fontaine,http://www.idref.fr/026773546/id aut; http://www.idref.fr/148532616/id aut,Diffusion de la culture; Patrimoine culturel; Tourisme historique; Reconstitutions historiques; Médias et histoire
http://www.sudoc.fr/270804633/id,catalogued_year_in_window,2023,2023,"La démocratie au travail  / Marion Fontaine, Nathan Cazeneuve, [et al.] / Lormont : Le Bord de L'eau , DL 2023",Marion Fontaine,http://www.idref.fr/148532616/id aut,Organisation du travail; Politique et gouvernement
http://www.sudoc.fr/271458526/id,catalogued_year_in_window,2022,2022,"Psychoanalysis and history  / Brian Connolly and Joan Wallach Scott,special issue editors / [Durham (North Carolina)] : Duke University Press , 2022",Joan Wallach Scott,http://www.idref.fr/027129446/id pbd,Complexe d'Oedipe; Psychanalyse; Psychanalyse et politique; Historiographie; Traumatisme psychique; Fin du monde; Paranoïa; Articles de périodiques
