qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q975777,Ernest Labrousse,,026957809,124667171,11910426v,64007776,n50082242,False,ernest_labrousse
Q97585539,Tina Loo,environmental_history,139576320,133535002,135597326,77506316,no95002704,False,
Q97626494,Jessica J. Lee,environmental_history,253853532,113696472X,,602315947773982799000,no2017081926,False,
Q97653421,William S. Pretzer,labour_history,,,,271247706,n88254284,False,
Q98060476,Carolyn Russo,gender_history,192357824,,,18947713,n96058930,False,
Q98526030,Patricia A. Cooper,labour_history; gender_adjacent,,170459691,,109185332,n85282664,False,
Q98543324,Marie-Hélène Zylberberg-Hocquard,gender_history,027205045,170180875,11929769b,68937436,n78032779,False,
Q98590659,Donna L. Akers,gender_adjacent,115557180,1245866370,15011400d,64284116,n2004090100,False,
Q98603244,Michelle M. Sauer,gender_adjacent,150808992,1068676205,,205058503,,False,
Q99557349,Libby Robin,environmental_history,076164608,133636399,145929294,40570718,n93041151,False,
Q99583536,Ingrid Sharp,gender_adjacent,112933602,143709046,156046324,17546560,n2002106319,False,
Q99762798,Sarah Horowitz,gender_history,177431148,1049318390,16739972b,305202914,no2013086686,False,
Q99861620,Sara B. Pritchard,environmental_history,151871329,1089865228,165560726,155016106,n2010066471,False,
