qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q115324586,Jules Joanne Gleeson,gender_history,,,,,,False,
Q115489697,Jeong-Sook Hahn,gender_adjacent,,,,3916226,n85214174,False,
Q11549017,Tamae Mizuta,gender_adjacent,050142089,133675033,129809709,108482814,nr90003009,False,
Q115629387,Hannah Dawson,gender_adjacent,,1236865243,,42168538,,False,
Q115730936,Michaele L. Ferguson,gender_history,144279150,136354289,,80713186,n2007007502,False,
Q11619060,Miho Ogino,gender_adjacent,19429384X,141625856,,78631724,nr91009515,False,
Q116237257,Bonnie Stepenoff,labour_history; gender_history,,142360031,,31326632,n99025255,False,
Q116314626,Rochona Majumdar,gender_adjacent,118973126,138609012,15557941h,42156273,n2006172707,False,
Q11649255,Yūko Suzuki,gender_history,,,,271257162,,False,
Q11672748,Rumiko Kōra,gender_history,092409881,139488677,,98488672,n93050725,False,
Q116779829,Deborah Lee-Talbot,gender_history,,,,,,False,
Q116855304,Samira K. Mehta,gender_history,,1046848712,,16149415259389552932,no2017056162,False,
Q117046212,Mikko Saikku,environmental_history,,1223110621,,52915103,,False,
Q117072240,Benjamin R. Cohen,environmental_history,,,,106934547,no2010016435,False,
Q117268779,Elspeth King,gender_history,,,,,,False,
Q117458938,Gry Jexen,gender_history,,,,2157825151254061639,,False,
Q117767676,Anne Balay,labour_history,182665674,1172482098,,305276858,n2013058328,False,
Q117813615,Paul Ahidjo,environmental_history,,,,,,False,
Q117863654,Alexis Vrignon,environmental_history,178658367,1131663403,16772522t,310502399,,False,
Q118128689,James Morton Turner,environmental_history,,1025960920,,76026393,,False,
Q118366404,Laurie Stoff,gender_adjacent,,,,17559900,,False,
Q119546,Howard Zinn,labour_history,030132819,119301989,12161034d,106986472,n79059761,False,
Q119807183,Christina K. Gilmartin,gender_adjacent,,,16735488c,77996941,,False,
Q119924243,Hiroko Sekiguchi,gender_history,127459022,173646840,,63860645,nr91007533,False,
Q119973965,Genevieve Clutario,gender_history,,,,,,False,
Q120001803,Eliška Švarná,environmental_history,,,,178168839808445401616,,False,
Q12002301,Věra Sokolová,gender_adjacent,146875850,136164803,,76004154,no2008168019,False,
Q120612456,Jana Krčmářová,environmental_history,,,,33161996972844430110,,False,
Q120764229,Monica Mattfeld,gender_adjacent,220008817,1136626158,,50147663062960551778,no2016130454,False,
Q120833603,Alice Ingold,environmental_history,07246979X,,14484030z,51917649,no2003089855,False,
Q120849055,Denisa Nešťáková,gender_adjacent,,1235895378,,49151594503405352918,,False,
Q12116679,Oksana Kis,gender_history,142655872,138705208,,90965608,no2009074050,False,
Q121297664,Jane Garnett,gender_adjacent,,,,53363922,,False,
Q121423494,Martine Chalvet,environmental_history,15060002X,,16269370r,170396897,no2011136492,False,
Q121435497,Franziska Torma,environmental_history,,1160480575,,42911331,,False,
Q122222938,Aïcha Limbada,gender_history,250398672,130719799X,181090447,72160789614302680572,no2023123576,False,
Q1222655,Dieter R. Bauer,gender_adjacent,028754514,12380650X,12052541x,100193226,n85227768,False,
Q122329593,Christina Spitzbart-Glasl,environmental_history,,,,37169375667824282862,,False,
Q122583319,Dóra Czeferner,gender_adjacent,,1149158832,,13151431492656300494,no2015116914,False,
Q122686871,Joyce M. Bellamy,labour_history,026715635,170454703,11891029h,297385559; 73849834,n50006807,False,
Q1227967,Dirk Meier,environmental_history,080598870,121302725,12922089g,27196548,no2003124580,False,
Q122908586,Penelope Nash,gender_adjacent,,,,3692149068365165730001,,False,
Q123023434,Matthew Evenden,environmental_history,110014901,138855730,166072635,53520593,n2003008130,False,
Q123219116,Erika Anne Randall,gender_history,,,,73818482,nr2006028438,False,
Q12332172,Poul Holm,environmental_history,05692691X,,12942101x,37047338,n93051167,False,
Q123354329,Karl Appuhn,environmental_history,145892522,141170212,,66395549,nr2001014240,False,
Q123521355,Terry Irving,labour_history,,,,,,False,
Q123699988,Adam Sundberg,environmental_history,275207560,125275048X,181191979,21163408830300091915,n2021054560,False,
Q123702916,A.B. Bawa,gender_history,,,,,,False,
Q123785634,Elizabeth Ricketts,labour_history,,,,,,False,
Q123785996,Zara Kwaghe,gender_adjacent,,,,11160242692152430633,n2020056101,False,
Q123861,Johann Jakob Bachofen,gender_adjacent,026699885,118505645,11889806s,64001159,n50019400,False,
Q12405813,Dalia Ofer,gender_adjacent,05264748X,1021213276,13598263p,66637566,n88267357,False,
Q124566521,Marcus Hall,environmental_history,,1177737760,,28919283,,False,
Q124608765,Torsten Meyer,environmental_history,,,,7356163274281912440005,,False,
Q124616794,Erika K. Jackson,gender_adjacent,,1178808734,,28154074455611742436,,False,
Q124639271,Camilla Allen,environmental_history,,,,30163408781200091397,,False,
Q124642398,Heather F. Roller,environmental_history,,,,307456351,,False,
Q124642474,Thomas Fleischman,environmental_history,,1216640823,,16158307092206402901,,False,
Q124740121,Eunice Blavascunas,environmental_history,,,,298838001,,False,
Q124741546,Catherine W. Zipf,gender_adjacent,,,,241179725,,False,
Q124895379,Jeff Schuhrke,labour_history,,,,,,False,
Q125168550,Huiling Ke,gender_adjacent,,1227300379,,3499161392914958480000,,False,
Q125342231,Kathleen Pribyl,environmental_history,,,,108151050101733411893,,False,
Q125372009,Michael Schmidt,environmental_history,110059247,,14605236h,,,False,
Q125444877,Lisa R. Lindell,gender_history,,,,296330534,no2013024196,False,
Q125453387,Ninja Bumann,gender_history,,,,5159173911326920200009,,False,
Q125730671,Flint Dibble,environmental_history,238016870,,,29157098572372552568,,False,
Q126181448,Hunter Vaughan,environmental_history,,,,95654640,n2012068995,False,
Q126229179,Durba Mitra,gender_adjacent,255147724,1204095507,17991552d,5156917094654791514,n2019055560,False,
Q126868896,Yan-Chiou Wu,gender_history,,,,,,False,
Q126994039,Victor S. Kennedy,environmental_history,,,,44391842,,False,
Q127603846,Nimisha Barton,gender_adjacent,,,,38152986661112672155,,False,
Q128126,Claude Lévi-Strauss,,02698797X,118572385,11912808h,102346347,n79011221,False,levistrauss
Q1285150,Edith Saurer,gender_adjacent,056541899,107847744,12759132r,12432386,nr90004992,False,
Q12894172,Mary Renda,gender_adjacent,073376590,,14408006d,51903809,n00031494,False,
Q129213166,Antoine Acker,environmental_history,219817758,,,1170151051894633530004,no2017146493,False,
Q130394369,Jon Astbury,gender_adjacent,,,,4167561927298492011,,False,
Q130459386,Chris Boyer,environmental_history,,,,49484008,no99031958,False,
Q130563710,Melina Antonia Buns,environmental_history,,,,,,False,
Q130565382,Danielle Alesi,environmental_history,,,,262175777159816892502,,False,
Q130569533,Claire Campbell,environmental_history,158707974,140764917,15952113j,107755236,no2005027351,False,
Q130582730,Serpil Atamaz,gender_adjacent,,,,305832707,,False,
Q130626060,Kathryn Maude,gender_adjacent,,,,,,False,
Q130631,Jacques Derrida,,027287130,118677888,11899710z,88958529,n79092610,False,derrida
Q130674910,Katrin Kleemann,environmental_history,279564929,1222694344,,20160725538910180921,,False,
Q130693443,Jessie Hewitt,gender_adjacent,252652819,1243128305,,15158307092706402934,no2020028024,False,
Q130702658,Yulia Gradskova,gender_adjacent,,136590772,,5037158369769101460004,,False,
Q130706413,Amanda Herbert,gender_adjacent,,,,305021893,,False,
Q130767424,Hans-Ulrich Schiedt,environmental_history,,1068226773,,37152805,,False,
Q130791981,Marc Landry,environmental_history,,1177083299,,92158367882301282918,,False,
Q130797382,Kristen M. Fleming,environmental_history,,,,,,False,
Q130852633,Beth Baron,gender_adjacent,033053987,1070185434,12395936h,37002300,,False,
Q131278298,Isabel Harvey,gender_history,257384766,,,141163408875100091295,,False,
Q131443652,Mai Na Lee,gender_adjacent,189852534,1075294290,,310725887,no2014127354,False,
Q131462079,Marina Lienhard,gender_adjacent,,1308235550,,2476169929780769380009,,False,
Q13157541,Margaret MacCurtain,gender_history,029442362,1057558419,12106880r,12338009,n79054065,False,
Q132105,Frances Yates,,028456467,124986242,12028830x,44313166,n50014251,False,frances_yates
Q132574332,Robert Emmett,environmental_history,233772456,1105477037,,4146094135300330439,,False,
Q133002441,Dominique Grisard,gender_adjacent,,133860264,,72594902,,False,
Q133228260,Anne Jusseaume,gender_adjacent,142719404,1309731055,18113028r,220375770,no2024006951,False,
Q133308418,Andrea Gaynor,environmental_history,263878775,,15605784w,15094069,nb2008006817,False,
Q133389396,Anna Schiff,gender_adjacent,,1198234504,,7157279962503302222,,False,
Q133463916,Susan Nance,environmental_history,,,,70868618,,False,
Q133464136,Juliana Adelman,environmental_history,,,,107614038,,False,
Q133615695,Justin Roberts,environmental_history,174636024,1044669500,,290575590,n2012074295,False,
Q133741885,Margit van der Steen,gender_adjacent,,143874268,,169754338,,False,
Q133758839,Donald William Rawson,labour_history,081545770,170061876,,70175643,n50054041,False,
Q133823064,Diogo de Carvalho Cabral,environmental_history,,,,8145243770074441778,,False,
Q133823088,André Vasques Vital,environmental_history,,,,19157340509509920811,,False,
Q1338879,Eric Williams,,027197484,118807455,11929228c,34464433,n50015747,False,eric_williams
Q133971796,Valeria Palumbo,gender_history,,,,,,False,
Q134100096,Elizabeth W. Williams,gender_adjacent,,131507009X,,36168651954607692644,,False,
Q134285134,Linda Gale Jones,gender_adjacent,174631510; 261809237,1032033525,17739500h,296099170,n2007002416,False,
Q134394613,Isaac Land,environmental_history,,,,28989067,,False,
Q134459856,Jonne Harmsma,environmental_history,,,,182148120964294792804,,False,
Q134510855,Marie Lucas,gender_history,255173458,1362340286,182238468,88162365863125461895,,False,
Q134585423,Ileen DeVault,labour_history,109398459,,150300683,286196927; 69211618,n90627525,False,
Q134888792,Lynn S. Chancer,gender_adjacent,117468541,105779404X,150598515,112605992,n91097816,False,
Q134962546,Perrin Selcer,environmental_history,,,,,,False,
Q135508333,Carolyn Rasmussen,labour_history,159299268,1188073737,16519645v,14623347,nr91005117,False,
Q135508456,David Wilson,environmental_history,,,,,,False,
Q135528894,Anja Wieber,gender_adjacent,,,,107654657; 59362977,,False,
Q135641923,Kristine Ashton Gunnell,gender_adjacent,,,,305946807,,False,
Q135841940,Gerhard Roßmann,labour_history,02849542X,,12031986b,59098516,,False,
Q136085200,Mary Harrington,gender_history,,,,,,False,
Q136159663,Mart A. Stewart,environmental_history,,,,,,False,
Q136160416,Klara Naszkowska,gender_adjacent,,1058993178,,250024461,,False,
Q136202996,Īlias A. Kolovos,environmental_history,12337409X,1024874958,15617901m,24926054,no2008004552,False,
Q136296404,David Jenkins,labour_history,,,,,,False,
Q136445670,Nuala Caomhánach,environmental_history,28609035X,,,146175776724216891203,,False,
Q136489826,Elisabeth Evans Wray,gender_history,,,,14159546,n2004044032,False,
Q136543190,Melissa Ooten,gender_adjacent,,,,311767050,n2014070279,False,
Q136556274,Annalaura Turiano,gender_history,198374852,1268139149,18120511w,226148933791354302268,n2022034623,False,
Q136588334,Robert Pursche,environmental_history,,1239138350,,8304162985493486300000,,False,
Q136674973,Santiago Joaquin Insausti,gender_adjacent,,,,,,False,
Q137155062,,labour_history,,170396878,,,,False,
Q137792931,Terry McCarthy,labour_history,,1067602941,12165583z,110306151; 17263026; 305048275,nr89007356,False,
Q137842326,Martin Reuss,environmental_history,165563699,17109946X,167290970,206076978; 273952986,n83062167,False,
Q137926081,Brian Lander,environmental_history,,,,,,False,
Q137926082,Bradley Camp Davis,environmental_history,,,,,,False,
Q137996782,Stefania Barca,environmental_history,,,,238422966,,False,
Q137999844,Simon Lobach,environmental_history,279585276,,,137172456130722512840,,False,
Q138240620,Alistair Johnstone,labour_history,056798210,,,203051859,n79135692,False,
Q138332802,Wang Zheng,gender_adjacent,069019142,1056093056,,95008011,nr91031613,False,
Q139001075,Peter Kulemann,labour_history,,1238265839,,7762162844773873240007,,False,
Q139061461,Elinor Accampo,gender_adjacent,,170719901,,32123014,,False,
Q139064143,Widya Fitria Ningsih,gender_history; gender_adjacent,154698431,117212504X,,107315552,n2009202463,False,
Q139083835,Mikkel Høghøj,environmental_history,,,,,,False,
Q139091412,Júlia Čížová,environmental_history,,,,,,False,
Q139178588,Renee Christine Romano,gender_adjacent,,1062658817,,2793555,,False,
Q139245867,Pavla Šimková,environmental_history,,1247085724,,16162115791402110612,,False,
Q139276592,Lorenz Weinberg,gender_history,,1312213809,,2653170250844511550001,,False,
Q139435919,,gender_adjacent,,,,,,False,
Q139442000,,environmental_history,,,,,,False,
Q139445776,,environmental_history,,,,,,False,
Q139447920,,environmental_history,,,,,,False,
Q139448426,,gender_adjacent,,,,,,False,
Q139450558,,gender_adjacent,,,,,,False,
Q139450815,,gender_adjacent,,,,,,False,
Q139451670,Camille Chaplain,gender_history,096194367,,15036171q,19962495,no2013131132,False,
Q139451840,,gender_adjacent,,,,,,False,
Q139452108,,gender_adjacent,,,,,,False,
Q139453501,,gender_adjacent,,,,,,False,
Q139453709,,environmental_history,,,,,,False,
Q139453847,,environmental_history,,,,,,False,
Q139454083,,gender_adjacent,,,,,,False,
Q139454714,,gender_adjacent,,,,,,False,
Q139455676,,gender_adjacent,,,,,,False,
Q139455851,,gender_adjacent,,,,,,False,
Q139456140,,environmental_history,,,,,,False,
Q139456356,,gender_adjacent,,,,,,False,
Q139456480,Serge Briffaud,environmental_history,050379429,,13527094q,27225935,,False,
Q139456576,,gender_adjacent,,,,,,False,
Q139456628,,gender_adjacent,,,,,,False,
Q139456713,,gender_adjacent,,,,,,False,
Q139456812,,gender_adjacent,,,,,,False,
Q139456922,,environmental_history,,,,,,False,
Q139458172,,gender_adjacent,,,,,,False,
Q139458355,,environmental_history,,,,,,False,
Q139459300,,gender_adjacent,,,,,,False,
Q139459393,,gender_adjacent,,,,,,False,
Q139460003,,environmental_history,,,,,,False,
Q139462503,,gender_adjacent,,,,,,False,
Q139464144,,gender_adjacent,,,,,,False,
Q139465529,,environmental_history,,,,,,False,
Q139468155,,environmental_history,,,,,,False,
Q139468329,,environmental_history,,,,,,False,
Q139474347,,environmental_history,,,,,,False,
Q139477323,,environmental_history,,,,,,False,
Q139477419,,gender_adjacent,,,,,,False,
Q139477841,,gender_adjacent,,,,,,False,
Q139477891,,environmental_history,,,,,,False,
Q139478134,,environmental_history,,,,,,False,
Q139479969,,gender_adjacent,,,,,,False,
Q139481039,,environmental_history,,,,,,False,
Q139481458,,gender_adjacent,,,,,,False,
Q139483184,,environmental_history,,,,,,False,
Q139483845,Jan Synowiecki,environmental_history,183564138,1129127303,17053171p,314923178,n2015022012,False,
Q1394990,Walter Rodney,,027646432,118968459,12022307k,64549214,n50048914,False,rodney
Q139553986,Mutiah Amini,gender_history,,,,280918784,,False,
Q139579538,Boris Frumkin,labour_history,,1051654025,,113488894; 303886771,n80014874,False,
Q139859253,Martha Walls,gender_history,,1012125173,,106048786,no2010125392,False,
Q139891406,Revmira Ismailowa-Fruck,labour_history,,,,,,False,
Q140073583,Gregory Edward Patmore,labour_history,224412221,171113586,17157066z,277319844; 93758667,n88667646,False,
Q140133620,Richard Keyser,environmental_history,,,,969162301506120270008,no2020114925,False,
Q140290922,Jane Errington,gender_history,029149525,1051929466,120835277,44324083,n88645729,False,
Q140335704,Amanda E. Regan,gender_history,,,,,,False,
Q1403591,Félix Kreissler,labour_history,026953757,121907902,11910083k,91999072,n80159818,False,
Q140454752,Deborah A. Field,gender_adjacent,,,,,,False,
Q140638472,Eric W. Sager,labour_history,077783123,136830188,17979461m,111358030,,False,
Q140690126,Silvano Polvani,labour_history,,,,51454226,no2006123861,False,
Q140774824,Cletus Edward Daniel,labour_history,071086285,170962040,,94267212,n80122446,False,
Q140866955,Matthew M. Palus,labour_history,,,,,,False,
Q140884676,Thomas Smits,environmental_history,,,,,,False,
Q140987411,Edmund Russell,environmental_history,,,,,,False,
Q141436663,Andrew P. Duffin,environmental_history,,,,,no2007056682,False,
Q141445428,,gender_history,,,,,,False,
Q141467414,Gabriela González,gender_history,,,,,no2019089130,False,
Q15406966,Léon Strauss,labour_history,034261893,1177270773,12503503f,70074879,nr98002110,False,
Q15431736,Brigitte Röder,gender_adjacent,05724653X,1027282431,130218113,71947737,n97033240,False,
Q15433591,Martin V. Melosi,environmental_history,028641876,133864960,12043549q,9865431,n79062987,False,
Q15433819,Rosa Reuthner,gender_adjacent,18047913X,131345109,,42968560,n2006060308,False,
Q15436444,Elisabeth Malleier,gender_adjacent,111865999,128923555,,241509234,no2003100179,False,
Q15439224,Harold Perkin,labour_history,028420985,171409574,12025960d,59096966,n50009683,False,
Q15446184,Ulrike Gleixner,gender_adjacent,050191349,114216886,13518617z,24758506,n96069029,False,
Q15637883,Ivy Pinchbeck,,032869894,170519279,123815634,109970956,n82024211,False,ivy_pinchbeck
Q156585,Marc Bloch,,02673298X,118659081,118923821,46757545,n79142969,False,marc_bloch
Q156999,Lucien Febvre,,026860600,118683160,119024609,61545548,n50001005,False,lucien_febvre
Q1575854,Hannelore Cyrus,gender_adjacent,110344103,115833714,,265234691,n83048876,False,
Q1593925,Heide Wunder,gender_adjacent,030139031,120999803,12161516v,110761159,n86067750,False,
Q16030694,Lucy Maynard Salmon,,,123735319,,47677073,no97037365,False,lucy_maynard_salmon
Q16097139,Gilbert LaFreniere,environmental_history,137347669,1159239126,,43750558,n2007037640,False,
Q16123921,Alexis De Veaux,gender_history,077105125,173748155,14609805v,29783605,n85139789,False,
Q16226154,Michael K. Honey,labour_history,069801088,134017897,,3679994,n86088689,False,
Q1631544,Karin Hausen,gender_adjacent,082567409,120489627,12810477q,264289859,n83222819,False,
Q16333919,Päivi Setälä,gender_adjacent,030366038,136279824X,12179593f,7433358,n78012337,False,
Q16727692,Kate Brown,environmental_history,081976402,1036333965,14589601d,51242926,n2003050650,False,
Q16769699,Yasuko Itō,gender_history,,17323318X,,14641410,nr93015644,False,
Q16890243,Christa Hämmerle,gender_adjacent,05247321X,128596880,13024086h,19813111,n85292029,False,
Q16890253,Gabriella Hauch,gender_adjacent,031884369,112211674,12301629k,4996539,nr89013152,False,
Q16972736,JaHyun Kim Haboush,gender_adjacent,028980093,173437869,12070302d,9870642,n84123949,False,
Q169906,Jacques Lacan,,027271765,118568507,119104423,36920510,n80022983,False,lacan
Q1701606,John R. Commons,labour_history,031653057,119049821,12292008w,27130247,n50031418,False,
Q17226788,Hiroko Nagano,gender_adjacent,189704640,172280885,,108909211,n87868329,False,
Q17227482,Leoš Jeleček,environmental_history,029412730,,12104610j,72841509,n85254596,False,
Q1736719,Katrin Keller,gender_adjacent,050741675,118007068,,265940586,n95096519,False,
Q179109,Roland Barthes,,026707764,118506862,118904281,44295060,n79064595,False,barthes
Q17986682,Nancy F. Cott,gender_adjacent,029279879,119065153X,120940337,232580416,n79100516,False,
Q18286811,Mirta Zaida Lobato,gender_adjacent,061503924,1047784122,15581571h,93050986,n84030433,False,
Q18386960,Charlotte Macdonald,gender_history,086105299,1053680872,144110701,34672026,n92016030,False,
Q184169,Louis Althusser,,026683490,118502298,11888581g,24596917,n79021234,False,althusser
Q184980,Thomas Kuhn,,027422119,118567918,119101699,22144060,n50046179,False,kuhn
Q185105,Fernand Braudel,,026750236,119022311,11893813t,9843788,n80014791,False,fernand_braudel
Q18576757,Michael Williams,environmental_history,031394507,1058486896,12261720t,262511399,n92097098,False,
Q18634148,Mary Nash,gender_history,066900522,1055852379,12627830q,71512701,n83032722,False,
Q18738721,Leonore Davidoff,gender_adjacent,029268796,170331563,12093174v,61573702,n82148860,False,
Q1896165,Maria Mesner,gender_adjacent,111879124,133693945,16156063j,69621163,n91036939,False,
Q18977903,Deborah Gray White,gender_adjacent,07602749X,139399917,,77893983,n88625498,False,
Q19276763,Stéphane Michaud,gender_history,027027651,130309834,11915951n,46764919,n81065267,False,
Q19279072,Elizabeth Harvey,gender_adjacent,03283960X,112956459,12379132g,34538805,n90651658,False,
Q19357742,Luigi Zanzi,environmental_history,028767640,1049492242,120535744,160788521,n80164596,False,
Q193670,Frantz Fanon,,028302257,118686070,120165772,22490,n79133201,False,fanon
Q19609712,Judith M. Bennett,gender_adjacent,030707994,142579041,122070056,104593203,n85266666,False,
Q19906828,Svetlana Ayvazova,gender_adjacent,184270251,1159233578,,1034152636053820050377; 97086855,n85364602,False,
Q19957933,Laura Gowing,gender_adjacent,034659668,132481405,12539174x,32109716,n95073410,False,
Q20712316,June Purvis,gender_adjacent,033668388,1159514690,12451241j,73948200,n87126632,False,
Q20873193,María Teresa Martínez de Sas,gender_history,029169542,1047953692,12085160f,22167529,n85302401,False,
Q21030679,Didier Boisseuil,environmental_history,06950766X,1028581130,14485242r,61440118,nr95046816,False,
Q21264394,Melanie Arndt,environmental_history,186415095,137711719,,233039936,,False,
Q21264740,Susan Zimmermann,gender_adjacent,031744508,171653912,122902842,19741504,n93016899,False,
Q2137947,Regina Wecker,gender_adjacent,029277426,135590280,120938425,54175524,n83142370,False,
Q21608698,Gisela Mettele,gender_adjacent,137775016,133455459,13559304v,153664297,n99831497,False,
Q221084,Marija Gimbutas,gender_adjacent,034455663,119269821,12055309m,99813186,n50033422,False,
Q22232565,Greg Bankoff,environmental_history,063804727,173614922,,60803577,n95930427,False,
Q22278777,Nancy Langston,environmental_history,14624186X,1160267065,16552617r,118960956,n95046616,False,
Q22481609,Sandra Swart,environmental_history,119609185,,,32328727,n88221628,False,
Q23012880,Michel Cordillot,labour_history,028509749,1101594624,120331618,39393076,n87105193,False,
Q23014926,Christina Crosby,gender_adjacent,157796892,,,111530618,n90608153,False,
Q23059319,Julia Tischler,environmental_history,248997793,1037715780,,300952070,n2013026874,False,
Q23059441,Kerstin Wolff,gender_adjacent,08473034X,172963486,166992029,193107018,no99056048,False,
Q23059632,Anna Hájková,gender_adjacent,179025155,1076549829,167443104,220964998,no2013068197,False,
Q23071906,Maurice Moissonnier,labour_history,027033287,127954550X,119164040,27068997,n88681887,False,
Q23138265,Brenda Elaine Stevenson,gender_history,136153186,,12737766t,43546547,n95038393,False,
Q23306577,Francisco Vázquez García,gender_adjacent,030425654; 110764862,174141130,121841862,215057040; 261651596,n90644259; no00026363,False,
Q2367310,Kenneth Pomeranz,environmental_history,061576204,139079378,13740397n,54324881,n92048594,False,
Q23773337,Eirinn Larsen,gender_adjacent,075520869,104434184X,,78294795,nb2004300107,False,
Q23781709,Rosa María Cid López,gender_adjacent,151852006,,15034845m,7668636,n97070818,False,
Q23872280,Marina Caffiero,gender_adjacent,028495217,137510098,120319730,41855677,n84036409,False,
Q23918961,Beata Losman,gender_adjacent,185638260,,,72920379,n87883986,False,
Q23926171,Claude Willard,labour_history,027197298,119946399X,119292120,66517556,n82032778,False,
Q24583765,Margarita María Birriel Salcedo,gender_adjacent,088061418,1239451261,12097132w,2499875,nr88003419,False,
Q2466876,Roger Chartier,,02678095X,12094037X,118962476,2468029,n82158483,False,roger_chartier
Q250291,Jane Schaberg,gender_adjacent,064804550,1030246300,16009590b,75178253,n81099419,False,
Q253407,Donna Haraway,gender_adjacent,030544289,131370952,12193816s,91665330,n88254245,False,
Q25386039,Christian Chevandier,labour_history,032291485,137129475,123349361,37150868311922072948,nr95023970,False,
Q2545365,Walter Licht,labour_history,155521586,17151713X,,25970788,n83008617,False,
Q2557882,Rodney Hilton,,028461606,105815578,120292895,32011060,n50036156,False,rodney_hilton
Q25894786,Krassimira Daskalova,gender_adjacent,077779169,1028966288,144727875,10074539,n88134430,False,
Q2589871,R. H. Tawney,,029477603,118801465,121096473,2502161,n50008661,False,r_h_tawney
Q2637972,Selma Leydesdorff,gender_adjacent,03448261X,172224748,12523458v,61656038,n78000353,False,
Q266185,Natalie Zemon Davis,,026814102,119167093,118988329,54146444,n82156876,True,
Q27042774,Gregg A. Mitman,environmental_history,087220407,1134993196,,114255475,n91128311,False,
Q27235441,Linda Grant DePauw,gender_adjacent,059087277,172042690,12002910q,91319453,n50036785,False,
Q274254,Eileen Power,,033668361,119358212,124512390,22236704,n50021826,False,eileen_power
Q27431298,Lekkie Hopkins,gender_adjacent,,1163631361,,122336569,n2010037436,False,
Q2748073,Antonio Elorza,labour_history,028555392,1047964260,120367891,306370584; 79048661,n79124909,False,
Q27655926,Andrew C. Isenberg,environmental_history,059612517,173390951,137512040,49403173,n99045353,False,
Q27978440,Diana K. Davis,environmental_history,128781459,137535562,16113527h,58525237,n2007012038,False,
Q28058615,Anna Rossi-Doria,gender_adjacent,028518683,1221980378,12033866x,54163907,n84094744,False,
Q28064078,Florence W. J. Koorn,gender_history,,103406858X,,100610887,n82107156,False,
Q28064137,Jannie Poelstra,gender_history,,,,51920626,n91128999,False,
Q28222644,Michelle Murphy,gender_adjacent,,135900328,,311313287,no2002088262,False,
Q28341238,Eric Arnesen,labour_history,,133608980,,3667465,,False,
Q28543832,Willy Gianinazzi,labour_history,030400201,1162066199,121821977,51733036,nr92023807,False,
Q28948166,Ann-Katrin Hatje,gender_adjacent,,136366198,,65836237,n2002107572,False,
Q29033671,Gloria Feman Orenstein,gender_adjacent,190928530,172295351,16758801q,40933257,n88160132,False,
Q29131447,Lisa Duggan,gender_adjacent,092255434,13265539X,179281845,36158371,n95019742,False,
Q29166066,Claudia Bruns,gender_adjacent,115479384,12473944X,,37162483,n86032610,False,
Q291798,Joan Wallach Scott,labour_history,027129446,123192331,11924218v,79035504,n85806133,True,
Q292326,Teresa de Lauretis,gender_adjacent,066757142,137804814,12686829h,234270747,n80070585,False,
Q2925482,Brigitte Studer,labour_history,032545541,111946131,12355545j,59160221,n96061760,False,
Q2926817,Bruno Groppo,labour_history,029271118,,12093356g,92456331,n88024842,False,
Q29611684,Gyrid Högman,gender_adjacent,,,,60825948,n97028485,False,
Q2965879,Christine Bard,gender_history,03021968X,135968682,12168184x,107029269,n93097324,False,
Q2977539,Claude Harmel,labour_history,026914980,171763246,103182142; 11906917h,91671390,n86835081,False,
Q30003115,Sylvie Chaperon,gender_history,060605774,1157038956,12918997t,22271007,nr00012452,False,
Q30015887,Nwando Achebe,gender_adjacent,101598068,130838454,15725829m,42953629,no2001076172,False,
Q3048214,Édouard Dolléans,labour_history,031569536,116172738,12275921w,22886483,no2005065226,False,
Q3069327,Fernand Rude,labour_history,02711497X,124399126,11923081t,68935260,n50022670,False,
Q3086610,Françoise Thébaud,gender_history,028804309,1051223997,12056478z,71411043,n86008692,False,
Q3102349,Georges Bourgin,labour_history,029595444,116298499,12118791t,24633584,n85804916,False,
Q3103073,Georges Lefranc,labour_history,026979314,128934077,11912150c,100221450,n50043477,False,
Q3103605,Georges Vidalenc,labour_history,087999749,,104585811,85184902,no2007088549,False,
Q3106142,Gilles Candar,labour_history,028287053,143488422,12015372j,168070271,n85090627,False,
Q310956,Clifford Geertz,,032510780,118965182,11904498g,108430277,n79131889,False,geertz
Q3131557,Henri Manceau,labour_history,11062811X,,13441923g,36074591,n90642059,False,
Q313386,Gilbert Ryle,,027116050,118793845,11923174t,7396707,n50022046,False,ryle
Q31440076,Marie-Luise Heckmann,environmental_history,071536264,1129902374,135310020,49383799,n96063898,False,
Q3166418,Jean-Jacques Soudeille,labour_history,027064549,141722991,103251686; 12630717r,76436358,no2016002946,False,
Q3166926,Jean-Louis Panné,labour_history,027057003,1050627407,11918524c,36922795,n88642476,False,
Q3168451,Jean-Paul Depretto,labour_history,035160020,,13171012f,51829284,n85287868,False,
Q3168689,Jean-Paul Scot,labour_history,052849686,1058989979,12658286j,2594123,no2001035457,False,
Q31704739,Roman Köster,environmental_history,157375595,137993978,,91173654,no2009111496,False,
Q3171010,Jean Bruhat,labour_history,026755955,143706640,11894268p,120724894,n50055886,False,
Q3174193,Jean Rabaut,labour_history,027086917,1145501117,11920935d,62890182,n82070403,False,
Q3174504,Jean Sagnes,labour_history,027117499,124047653,11923284d,49231105,n83026032,False,
Q3176052,Jeanne Gaillard,labour_history,02687847X,,12607450t,73972629,n87151043,False,
Q3193115,Karen M. Offen,gender_history,055824021,170370267,136118039,69104648,n81122367,False,
