person_id,label,gender_wikidata,basis,has_node,rep_entries,strand_entries,entries
adam_smith,Adam Smith,male,name_match_qid_unreviewed,False,1,1,economictheory
alessandro_portelli,Alessandro Portelli,male,name_match_qid_unreviewed,False,1,1,oral
alf_ludtke,Alf Lüdtke,male,name_match_qid_unreviewed,False,2,2,bielefeld;micro
alfred_crosby,Alfred Crosby,unknown,no_wikidata_match,False,2,1,environment;global
alfred_marshall,Alfred Marshall,male,label_consensus_6,False,1,1,economictheory
alice_clark,Alice Clark,female,accepted_qid,True,4,3,economic;gender;labourhistory;women
andre_gunder_frank,André Gunder Frank,male,name_match_qid_unreviewed,False,1,1,dependency
anna_clark,Anna Clark,female,name_match_qid_unreviewed,False,3,3,gender;labourhistory;marx
anthony_d_smith,Anthony D. Smith,male,label_consensus_1,False,1,1,nationalismstudies
gramsci,Antonio Gramsci,male,accepted_qid,True,1,2,culturalstudies;karl
arjun_appadurai,Arjun Appadurai,male,label_consensus_1,False,1,1,consumption
arnold_toynbee_economic_historian,Arnold Toynbee (economic historian),unknown,no_wikidata_match,False,1,1,historicalecon
barbara_taylor,Barbara Taylor,female,name_match_qid_unreviewed,False,2,3,gender;marx;women
barbara_tuchman,Barbara W. Tuchman,female,accepted_qid,True,5,4,biography;military;political;ranke;revival
barrington_moore,Barrington Moore,male,label_consensus_1,False,1,1,historicalsociology
barry_barnes,Barry Barnes,male,label_consensus_2,False,1,1,ssk
benedetto_croce,Benedetto Croce,male,name_match_qid_unreviewed,False,3,3,historicism;philhistory;ranke
benedict_anderson,Benedict Anderson,male,name_match_qid_unreviewed,False,1,1,nationalismstudies
bernard_bailyn,Bernard Bailyn,male,name_match_qid_unreviewed,False,2,2,atlantic;political
latour,Bruno Latour,male,accepted_qid,True,1,2,ssk;sts
clr_james,C. L. R. James,male,accepted_qid,True,7,6,anticolonial;atlantic;culture;karl;marx;nationaltradition;social
cv_wedgwood,C. V. Wedgwood,female,accepted_qid,True,5,4,biography;military;oldculture;political;revival
carl_g_hempel,Carl G. Hempel,unknown,no_wikidata_match,False,1,1,philhistory
carl_l_becker,Carl L. Becker,unknown,no_wikidata_match,False,1,1,philhistory
carl_von_clausewitz,Carl von Clausewitz,male,name_match_qid_unreviewed,False,2,1,military;wartradition
carlo_ginzburg,Carlo Ginzburg,male,name_match_qid_unreviewed,False,3,3,micro;revival;truthdebate
carolyn_merchant,Carolyn Merchant,female,label_consensus_1,False,2,2,environment;science
carter_g_woodson,Carter G. Woodson,unknown,no_wikidata_match,False,1,1,black
catherine_hall,Catherine Hall,female,name_match_qid_unreviewed,False,2,2,gender;social
charles_a_beard,Charles A. Beard,male,name_match_qid_unreviewed,False,1,1,progressive
charles_tilly,Charles Tilly,male,name_match_qid_unreviewed,False,5,5,global;historicalsociology;military;political;social
christopher_browning,Christopher Browning,male,name_match_qid_unreviewed,False,1,1,holocaust
christopher_hill,Christopher Hill,male,accepted_qid,True,2,3,biography;marx;political
levistrauss,Claude Lévi-Strauss,male,accepted_qid,True,2,2,anthropology;culturalstudies
geertz,Clifford Geertz,male,accepted_qid,True,2,2,anthropology;culture
daniel_jonah_goldhagen,Daniel Jonah Goldhagen,unknown,no_wikidata_match,False,1,1,holocaust
david_blackbourn,David Blackbourn,male,name_match_qid_unreviewed,False,1,1,bielefeld
david_bloor,David Bloor,male,label_consensus_1,False,1,1,ssk
david_ricardo,David Ricardo,male,label_consensus_6,False,1,1,economictheory
dipesh_chakrabarty,Dipesh Chakrabarty,male,name_match_qid_unreviewed,False,4,5,gender;labourhistory;post;social;subaltern
