person_id,label,has_node,rep_n,strand_n,entries
hippolyte_bernheim,Hippolyte Bernheim,False,1,1,freud
carl_gustav_jung,Carl Gustav Jung,False,1,1,freud
sandor_ferenczi,Sándor Ferenczi,False,1,1,freud
anna_freud,Anna Freud,False,1,1,freud
melanie_klein,Melanie Klein,False,1,1,freud
meyer_schapiro,Meyer Schapiro,False,2,2,freud;psychohistory
lloyd_demause,Lloyd deMause,False,1,1,psychohistory
john_demos,John Demos,False,1,1,psychohistory
franz_neumann,Franz Neumann,False,2,1,frankfurt;psychohistory
herbert_marcuse,Herbert Marcuse,False,2,1,frankfurt;psychohistory
juliet_mitchell,Juliet Mitchell,False,1,1,freud
etienne_balibar,Étienne Balibar,False,1,1,karl
jacques_ranciere,Jacques Rancière,False,1,1,karl
pierre_macherey,Pierre Macherey,False,1,1,karl
roger_establet,Roger Establet,False,1,1,karl
jacques_martin,Jacques Martin,False,1,1,karl
jean_cavailles,Jean Cavaillès,False,1,1,epistemology
edmund_husserl,Edmund Husserl,False,1,1,language
martin_heidegger,Martin Heidegger,False,1,1,language
charles_s_peirce,Charles S. Peirce,False,2,2,language;truthdebate
jan_goldstein,Jan E. Goldstein,False,2,2,language;science
sonia_combe,Sonia Combe,False,1,1,memory
paul_ree,Paul Rée,False,1,1,philhistory
arthur_schopenhauer,Arthur Schopenhauer,False,1,1,philhistory
stephen_bann,Stephen Bann,False,2,2,language;philhistory
jean_pierre_vernant,Jean-Pierre Vernant,False,3,2,anthropology;language;practice
julia_kristeva,Julia Kristeva,False,1,1,language
karl_lamprecht,Karl Lamprecht,False,2,2,oldculture;ranke
johann_gottfried_herder,Johann Gottfried Herder,False,4,3,conceptual;historicism;oldculture;philhistory
giambattista_vico,Giambattista Vico,False,2,1,nationaltradition;philhistory
augustin_thierry,Augustin Thierry,False,1,1,nationaltradition
jean_mabillon,Jean Mabillon,False,1,1,ranke
daniel_papebroche,Daniel Papebroche,False,1,1,ranke
charles_victor_langlois,Charles-Victor Langlois,False,1,1,ranke
charles_seignobos,Charles Seignobos,False,1,1,ranke
johann_gustav_droysen,Johann Gustav Droysen,False,3,3,historicism;philhistory;ranke
ernst_bernheim,Ernst Bernheim,False,1,1,ranke
numa_denis_fustel_de_coulanges,Numa Denis Fustel de Coulanges,False,1,1,ranke
immanuel_kant,Immanuel Kant,False,2,1,historicism;philhistory
g_w_f_hegel,G. W. F. Hegel,False,3,1,historicism;karl;philhistory
friedrich_schleiermacher,Friedrich Schleiermacher,False,2,2,biography;historicism;philhistory
frank_ramsey,Frank Ramsey,False,1,0,philhistory
piero_sraffa,Piero Sraffa,False,1,0,philhistory
j_l_austin,J. L. Austin,False,1,1,context
john_dunn,John Dunn,False,1,1,context
michael_oakeshott,Michael Oakeshott,False,1,1,context
hans_baron,Hans Baron,False,1,1,context
g_e_m_anscombe,G. E. M. Anscombe,False,1,1,context
annabel_brett,Annabel S. Brett,False,2,2,context;intellectualhistory
james_tully,James Tully,False,1,1,context
richard_tuck,Richard Tuck,False,1,1,context
otto_brunner,Otto Brunner,False,1,1,conceptual
werner_conze,Werner Conze,False,1,1,conceptual
melvin_richter,Melvin Richter,False,1,1,conceptual
rolf_reichardt,Rolf Reichardt,False,1,1,conceptual
eberhard_schmitt,Eberhard Schmitt,False,1,1,conceptual
hans_ulrich_gumbrecht,Hans Ulrich Gumbrecht,False,1,1,conceptual
friedrich_engels,Friedrich Engels,False,1,1,karl
georg_lukacs,Georg / György Lukács,False,1,1,karl
rosa_luxemburg,Rosa Luxemburg,False,1,1,karl
v_i_lenin,V. I. Lenin,False,1,1,karl
g_a_cohen,G. A. Cohen,False,1,1,karl
lise_vogel,Lise Vogel,False,2,1,gender;karl
heinrich_rickert,Heinrich Rickert,False,1,1,weber
marianne_weber,Marianne Weber,False,2,1,weber;women
neil_smelser,Neil J. Smelser,False,1,1,modern
s_n_eisenstadt,S. N. Eisenstadt,False,2,2,historicalsociology;modern
samuel_huntington,Samuel P. Huntington,False,1,1,modern
alex_inkeles,Alex Inkeles,False,1,1,modern
david_h_smith,David H. Smith,False,1,1,modern
paul_lazarsfeld,Paul F. Lazarsfeld,False,1,1,modern
joseph_schumpeter,Joseph A. Schumpeter,False,2,2,economictheory;modern
robert_n_bellah,Robert N. Bellah,False,1,1,modern
theotonio_dos_santos,Theotonio dos Santos,False,1,1,dependency
fernando_henrique_cardoso,Fernando Henrique Cardoso,False,1,1,dependency
enzo_faletto,Enzo Faletto,False,1,1,dependency
raul_prebisch,Raúl Prebisch,False,2,1,dependency;economictheory
celso_furtado,Celso Furtado,False,3,3,dependency;economic;economictheory
ruy_mauro_marini,Ruy Mauro Marini,False,1,1,dependency
vania_bambirra,Vânia Bambirra,False,1,1,dependency
samir_amin,Samir Amin,False,1,1,dependency
giovanni_arrighi,Giovanni Arrighi,False,1,1,dependency
alice_lynd,Alice Lynd,False,3,2,labourhistory;newleft;oral
david_montgomery,David Montgomery,False,3,2,labourhistory;newleft;social
alfred_f_young,Alfred F. Young,False,1,1,newleft
jesse_lemisch,Jesse Lemisch,False,1,1,newleft
howard_zinn,Howard Zinn,False,1,1,newleft
gabriel_kolko,Gabriel Kolko,False,1,1,newleft
george_p_rawick,George P. Rawick,False,1,1,newleft
lawrence_w_levine,Lawrence W. Levine,False,1,1,newleft
leon_litwack,Leon Litwack,False,1,1,newleft
betty_balanoff,Betty Balanoff,False,2,1,newleft;oral
robert_darnton,Robert Darnton,False,3,2,culture;intellectualhistory;revival
peter_burke,Peter Burke,False,1,1,culture
carroll_smith_rosenberg,Carroll Smith-Rosenberg,False,3,2,culture;gender;language
patricia_obrien,Patricia O’Brien,False,1,0,culture
suzanne_desan,Suzanne Desan,False,1,1,culture
aletta_biersack,Aletta Biersack,False,1,1,culture
lloyd_kramer,Lloyd S. Kramer,False,1,1,culture
mary_ryan,Mary P. Ryan,False,2,2,culture;frankfurt
thomas_laqueur,Thomas W. Laqueur,False,1,1,culture
randolph_starn,Randolph Starn,False,2,1,culture;revival
dominick_lacapra,Dominick LaCapra,False,2,3,culture;intellectualhistory;language
patrick_joyce,Patrick Joyce,False,1,1,language
john_toews,John E. Toews,False,2,2,intellectualhistory;language
mikhail_bakhtin,Mikhail Bakhtin,False,1,1,language
marshall_hodgson,Marshall G. S. Hodgson,False,1,1,global
edmund_burke_iii,Edmund Burke III,False,1,1,global
janet_abu_lughod,Janet Lippman Abu-Lughod,False,1,1,global
jerry_bentley,Jerry H. Bentley,False,1,1,global
r_bin_wong,R. Bin Wong,False,3,1,economic;global;historicalsociology
prasenjit_duara,Prasenjit Duara,False,2,1,global;nationalismstudies
ca_bayly,C. A. Bayly,False,1,1,global
kn_chaudhuri,K. N. Chaudhuri,False,1,1,global
serge_gruzinski,Serge Gruzinski,False,1,1,global
victor_lieberman,Victor Lieberman,False,1,1,global
cemal_kafadar,Cemal Kafadar,False,1,0,global
northrop_frye,Northrop Frye,False,1,1,language
kenneth_burke,Kenneth Burke,False,1,1,language
erich_auerbach,Erich Auerbach,False,1,0,language
louis_mink,Louis O. Mink,False,1,1,philhistory
wb_gallie,W. B. Gallie,False,1,1,philhistory
arthur_danto,Arthur C. Danto,False,1,1,philhistory
gaetano_mosca,Gaetano Mosca,False,1,0,karl
vilfredo_pareto,Vilfredo Pareto,False,1,0,karl
quintin_hoare,Quintin Hoare,False,1,0,karl
geoffrey_nowell_smith,Geoffrey Nowell Smith,False,1,0,karl
maurice_mandelbaum,Maurice Mandelbaum,False,1,1,philhistory
edgar_zilsel,Edgar Zilsel,False,1,1,philhistory
morton_white,Morton White,False,1,1,philhistory
barbara_hardy,Barbara Hardy,False,1,1,philhistory
wh_walsh,W. H. Walsh,False,1,1,philhistory
patrick_gardiner,Patrick Gardiner,False,1,1,philhistory
garrett_mattingly,Garrett Mattingly,False,1,0,philhistory
george_santayana,George Santayana,False,1,0,philhistory
martin_jay,Martin Jay,False,1,1,frankfurt
erich_fromm,Erich Fromm,False,1,1,frankfurt
friedrich_pollock,Friedrich Pollock,False,1,1,frankfurt
carl_grunberg,Carl Grünberg,False,1,1,frankfurt
leo_lowenthal,Leo Löwenthal,False,1,1,frankfurt
nancy_fraser,Nancy Fraser,False,1,1,frankfurt
joan_landes,Joan B. Landes,False,1,1,frankfurt
rita_felski,Rita Felski,False,1,0,frankfurt
oskar_negt,Oskar Negt,False,1,1,frankfurt
alexander_kluge,Alexander Kluge,False,1,1,frankfurt
peter_hohendahl,Peter Hohendahl,False,1,1,frankfurt
else_frenkel_brunswik,Else Frenkel-Brunswik,False,1,1,frankfurt
daniel_levinson,Daniel J. Levinson,False,1,1,frankfurt
nevitt_sanford,Nevitt Sanford,False,1,1,frankfurt
luce_giard,Luce Giard,False,1,1,practice
pierre_mayol,Pierre Mayol,False,1,1,practice
marie_ferrier,Marie Ferrier,False,1,1,practice
