name,group,local_person_id,node_ids,roster_entries,strand_occurrences,direct_edges,ranked_qid_leads,status
Joan Wallach Scott,gender_analysis,joan_wallach_scott,,8,11,0,,local_person_match_lead
Natalie Zemon Davis,cultural_narrative_urban,natalie_zemon_davis,,5,5,0,,local_person_match_lead
Lynn Hunt,cultural_narrative_urban,lynn_hunt,,3,4,0,,local_person_match_lead
Michelle Perrot,cultural_narrative_urban,michelle_perrot,,4,3,0,,local_person_match_lead
Dolores Hayden,cultural_narrative_urban,dolores_hayden,,5,5,0,,local_person_match_lead
Sally Alexander,british_feminist_class,sally_alexander,,3,6,0,,local_person_match_lead
Barbara Taylor,british_feminist_class,barbara_taylor,,2,4,0,,local_person_match_lead
Catherine Hall,british_feminist_class,catherine_hall,,2,4,0,,local_person_match_lead
Leonore Davidoff,british_feminist_class,leonore_davidoff,,2,3,0,,local_person_match_lead
Anna Clark,british_feminist_class,anna_clark,,3,4,0,,local_person_match_lead
Sheila Rowbotham,british_feminist_class,sheila_rowbotham,,2,2,0,,local_person_match_lead
Deborah Gray White,black_history,deborah_gray_white,,3,3,0,,local_person_match_lead
Darlene Clark Hine,black_history,darlene_clark_hine,,2,2,0,,local_person_match_lead
Evelyn Brooks Higginbotham,black_history,evelyn_brooks_higginbotham,,3,4,0,,local_person_match_lead
Janaki Nair,subaltern_postcolonial,janaki_nair,,4,3,0,,local_person_match_lead
Uma Chakravarti,subaltern_postcolonial,uma_chakravarti,,2,2,0,,local_person_match_lead
Gayatri Spivak,subaltern_postcolonial,gayatri_chakravorty_spivak,,2,2,0,,local_person_match_lead
Ann Laura Stoler,subaltern_postcolonial,ann_laura_stoler,,3,3,0,,local_person_match_lead
Chandra Mohanty,subaltern_postcolonial,chandra_talpade_mohanty,,2,1,0,,local_person_match_lead
Jackie Huggins,indigenous_history,jackie_huggins,,4,4,0,,local_person_match_lead
Rita Huggins,indigenous_history,rita_huggins,,4,4,0,,local_person_match_lead
Julie Cruikshank,indigenous_history,julie_cruikshank,,4,4,0,,local_person_match_lead
Angela Sidney,indigenous_history,angela_sidney,,3,2,0,,local_person_match_lead
Linda Tuhiwai Smith,indigenous_history,linda_tuhiwai_smith,,2,2,0,,local_person_match_lead
Silvia Rivera Cusicanqui,indigenous_history,silvia_rivera_cusicanqui,,3,2,0,,local_person_match_lead
Carolyn Merchant,science_sts,carolyn_merchant,,2,4,0,,local_person_match_lead
Lorraine Daston,science_sts,lorraine_daston,,1,1,0,,local_person_match_lead
Donna Haraway,science_sts,donna_haraway,,1,1,0,,local_person_match_lead
Margaret Rossiter,science_sts,margaret_rossiter,,1,1,0,,local_person_match_lead
Sandra Harding,science_sts,sandra_harding,,2,1,0,,local_person_match_lead
Gerda Lerner,women_medieval_history,gerda_lerner,,2,2,0,,local_person_match_lead
Joan Kelly,women_medieval_history,joan_kelly,,2,2,0,,local_person_match_lead
Carroll Smith-Rosenberg,women_medieval_history,carroll_smith_rosenberg,,3,2,0,,local_person_match_lead
Caroline Walker Bynum,women_medieval_history,caroline_walker_bynum,,1,1,0,,local_person_match_lead
Dharma Kumar,economic_history,dharma_kumar,,3,3,0,,local_person_match_lead
Louise Tilly,economic_history,louise_tilly,,3,2,0,,local_person_match_lead
Maxine Berg,economic_history,maxine_berg,,2,1,0,,local_person_match_lead
Lilian Knowles,economic_history,lilian_knowles,,2,2,0,,local_person_match_lead
Carole Shammas,economic_history,carole_shammas,,2,1,0,,local_person_match_lead
Theda Skocpol,other_fields,theda_skocpol,,1,2,0,,local_person_match_lead
Doreen Massey,other_fields,doreen_massey,,3,5,0,,local_person_match_lead
Ute Frevert,other_fields,ute_frevert,,3,4,0,,local_person_match_lead
Luisa Passerini,other_fields,luisa_passerini,,2,2,0,,local_person_match_lead
Romila Thapar,additional_absence_leads,,,0,0,0,Q2744161,no_local_label_match
Laurel Thatcher Ulrich,additional_absence_leads,,,0,0,0,Q4474952,no_local_label_match
Gertrude Himmelfarb,additional_absence_leads,,,0,0,0,Q2898270,no_local_label_match
Mona Ozouf,additional_absence_leads,,,0,0,0,Q465440,no_local_label_match
Sheila Fitzpatrick,additional_absence_leads,,,0,0,0,Q453863,no_local_label_match
Nell Irvin Painter,additional_absence_leads,,,0,0,0,Q730820,no_local_label_match
Ida Blom,additional_absence_leads,,,0,0,0,Q1777283,no_local_label_match
Yvonne Hirdman,additional_absence_leads,,,0,0,0,Q514152,no_local_label_match
Anna Pankratova,additional_absence_leads,,,0,0,0,Q4344126,no_local_label_match
Lucy Dawidowicz,additional_absence_leads,,,0,0,0,Q2916929,no_local_label_match
Deborah Lipstadt,additional_absence_leads,,,0,0,0,Q254798,no_local_label_match
Élisabeth Roudinesco,additional_absence_leads,,,0,0,0,Q274705,no_local_label_match
Linda Nochlin,additional_absence_leads,,,0,0,0,Q434478,no_local_label_match
Lisa Jardine,additional_absence_leads,,,0,0,0,Q3242410,no_local_label_match
Averil Cameron,additional_absence_leads,,,0,0,0,Q533515,no_local_label_match
Patricia Crone,additional_absence_leads,,,0,0,0,Q286019,no_local_label_match
Annette Gordon-Reed,additional_absence_leads,,,0,0,0,Q1247765,no_local_label_match
Deirdre McCloskey,additional_absence_leads,,,0,0,0,Q682037,no_local_label_match
Frances Yates,alias_control,frances_yates,frances_yates,3,2,8,Q132105,local_person_match_lead
Claudia Jones,anticolonial_discovery,,,0,0,0,,no_local_label_match
Amy Ashwood Garvey,anticolonial_discovery,,,0,0,0,,no_local_label_match
Una Marson,anticolonial_discovery,,,0,0,0,,no_local_label_match
