rank,qid,label,values,identity_status
13,Q60025,Hannah Arendt,female,not_accepted
22,Q233479,Anne Applebaum,female,not_accepted
32,Q157313,Assia Djebar,female,not_accepted
32,Q231360,Gertrude Bell,female,not_accepted
56,Q458403,Mary Beard,female,not_accepted
59,Q3827806,Laura Mancinelli,female,not_accepted
69,Q61198,Pat Barker,female,not_accepted
75,Q152824,Susan Sontag,female,not_accepted
86,Q49128,Drew Gilpin Faust,female,not_accepted
111,Q242796,Antonia Fraser,female,not_accepted
115,Q60785,Ricarda Huch,female,not_accepted
146,Q23120599,Nina Garsoyan,female,not_accepted
150,Q271712,Ida Tarbell,female,not_accepted
163,Q467140,Lin Huiyin,female,not_accepted
179,Q235291,Jung Chang,female,not_accepted
183,Q274309,Élisabeth Badinter,female,not_accepted
186,Q442008,Doris Kearns Goodwin,female,not_accepted
188,Q274334,Svetlana Alexievich,female,not_accepted
188,Q221084,Marija Gimbutas,female,not_accepted
188,Q145065,Lyudmila Pavlichenko,female,not_accepted
188,Q170371,Matilde Camus,female,not_accepted
188,Q229671,Chelsea Clinton,female,not_accepted
258,Q132105,Frances Yates,female,not_accepted
259,Q205618,Naomi Oreskes,female,not_accepted
266,Q394451,Agnes Arber,female,not_accepted
285,Q3242410,Lisa Jardine,female,not_accepted
288,Q81500,Helene Ahrweiler,female,not_accepted
295,Q977118,Anna J. Cooper,female,not_accepted
299,Q64397,Shere Hite,female,not_accepted
312,Q6192915,Jill Lepore,female,not_accepted
315,Q2744161,Romila Thapar,female,not_accepted
317,Q464474,Josefina Plá,female,not_accepted
327,Q237533,Natalya Estemirova,female,not_accepted
331,Q261687,Jacqueline de Romilly,female,not_accepted
333,Q283659,Barbara Ehrenreich,female,not_accepted
353,Q433098,Charlotte Mary Yonge,female,not_accepted
353,Q77608,Edith Hamilton,female,not_accepted
366,Q1884754,"Sirindhorn, Princess Royal",female,not_accepted
384,Q469474,Ariel Durant,female,not_accepted
393,Q434478,Linda Nochlin,female,not_accepted
399,Q4179607,Polina Zherebtsova,female,not_accepted
459,Q237087,Fred Vargas,female,not_accepted
459,Q293156,Lyudmila Alexeyeva,female,not_accepted
497,Q454420,Esther Forbes,female,not_accepted
499,Q93535,"Marie Christine, Princess Michael of Kent",female,not_accepted
514,Q3470006,Salma Jayyusi,female,not_accepted
514,Q269002,Tatiana Proskouriakoff,female,not_accepted
522,Q4474952,Laurel Thatcher Ulrich,female,not_accepted
525,Q4898381,Bettany Hughes,female,not_accepted
543,Q1777283,Ida Blom,female,not_accepted
553,Q439649,Rosamond McKitterick,female,not_accepted
561,Q6003346,Zaynab Fawwaz,female,not_accepted
585,Q174214,Cherie Blair,female,not_accepted
585,Q270271,Hélène Carrère d'Encausse,female,not_accepted
592,Q3271335,Judith Herrin,female,not_accepted
592,Q465440,Mona Ozouf,female,not_accepted
606,Q3380412,Carole Hillenbrand,female,not_accepted
608,Q213690,Gitta Sereny,female,not_accepted
615,Q2898270,Gertrude Himmelfarb,female,not_accepted
628,Q16194959,Alison Bashford,female,not_accepted
628,Q533515,Averil Cameron,female,not_accepted
636,Q3023540,Princess Der Ling,female,not_accepted
639,Q523870,Elsie Clews Parsons,female,not_accepted
639,Q438609,Nina Bang,female,not_accepted
651,Q90838,Elisabeth Abegg,female,not_accepted
659,Q2119956,Urvashi Butalia,female,not_accepted
688,Q539835,Geetanjali Shree,female,not_accepted
688,Q19842108,Henrieta Todorova,female,not_accepted
688,Q240212,Philippa Gregory,female,not_accepted
688,Q469551,Riane Eisler,female,not_accepted
703,Q460121,Ana Paula Ribeiro Tavares,female,not_accepted
703,Q453863,Sheila Fitzpatrick,female,not_accepted
723,Q4344126,Anna Pankratova,female,not_accepted
723,Q6766286,Marjorie Housepian Dobkin,female,not_accepted
754,Q286019,Patricia Crone,female,not_accepted
754,Q50345244,Tara Westover,female,not_accepted
766,Q274705,Élisabeth Roudinesco,female,not_accepted
786,Q382163,Afet İnan,female,not_accepted
786,Q156540,Anniken Huitfeldt,female,not_accepted
786,Q254798,Deborah Lipstadt,female,not_accepted
786,Q682037,Deirdre McCloskey,trans woman,not_accepted
786,Q7086350,Olena Apanovych,female,not_accepted
786,Q2134968,Rebecca Solnit,female,not_accepted
786,Q2599504,Sofya Yanovskaya,female,not_accepted
803,Q514152,Yvonne Hirdman,female,not_accepted
815,Q5460275,Flora Annie Steel,female,not_accepted
815,Q5664672,Harriot Eaton Stanton Blatch,female,not_accepted
815,Q2916929,Lucy Dawidowicz,female,not_accepted
840,Q5478653,Frances FitzGerald,female,not_accepted
846,Q2541295,Deborah Harkness,female,not_accepted
892,Q1247765,Annette Gordon-Reed,female,not_accepted
905,Q13462978,Elizabeth Smart,female,not_accepted
920,Q2086496,Praskovya Uvarova,female,not_accepted
945,Q518615,Margaret MacMillan,female,not_accepted
945,Q1264872,Marina Warner,female,not_accepted
976,Q730820,Nell Irvin Painter,female,not_accepted
987,Q64354,Gisèle Freund,female,not_accepted
