?lab	?p	?g	?gLabel	?desc
"Sándor Ferenczi"@en	<http://www.wikidata.org/entity/Q1000541>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Hungarian science writer and journalist (1901–1945)"@en
"Walter Benjamin"@en	<http://www.wikidata.org/entity/Q100749212>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"college basketball player (1978–1979) Cornell"@en
"Chandler Davis"@en	<http://www.wikidata.org/entity/Q100775433>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"college basketball player (2019–2019) Texas State"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q100800960>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"college basketball player (1992–1995) Old Dominion"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q100800961>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"college basketball player (1965–1967) Iowa State"@en
"Nigel Smith"@en	<http://www.wikidata.org/entity/Q100924480>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American basketball player (born 1979)"@en
"Brian Vickers"@en	<http://www.wikidata.org/entity/Q100941792>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"college basketball player (1979–1981) Iona"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q102077796>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American professor of sociology and statistics"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q102128929>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Ph.D. University of Wisconsin-Madison 1968"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q102298291>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian physicist (born 1952)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q102345278>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian mathematician (1980-)"@en
"Dadabhai Naoroji"@en	<http://www.wikidata.org/entity/Q10240>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Indian politician leader, scholar and writer (1825–1917)"@en
"Alexander Savine"@en	<http://www.wikidata.org/entity/Q103846282>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American composer, conductor and vocal teacher (1881-1949)"@en
"Robert Gottlieb"@en	<http://www.wikidata.org/entity/Q104677663>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Holocaust victim (born 1914)"@en
"Gonzalo Sánchez"@en	<http://www.wikidata.org/entity/Q104777977>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Argentine journalist and writer"@en
"David Kaufmann"@en	<http://www.wikidata.org/entity/Q105355156>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1862-06-11"@en
"David Kaufmann"@en	<http://www.wikidata.org/entity/Q105355159>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1874-01-22"@en
"Leo Löwenthal"@en	<http://www.wikidata.org/entity/Q105365581>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1876-05-25"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q105454495>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1895-02-28"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q105470084>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1873-03-19"@en
"Leo Löwenthal"@en	<http://www.wikidata.org/entity/Q105512771>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, birth date unknown"@en
"David Kaufmann"@en	<http://www.wikidata.org/entity/Q105519764>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1887-04-23"@en
"Lise Vogel"@en	<http://www.wikidata.org/entity/Q105544329>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"French journalist"@en
"Leo Löwenthal"@en	<http://www.wikidata.org/entity/Q105654601>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"holocaust victim, b. 1893-06-08"@en
"Stevan Harrell"@en	<http://www.wikidata.org/entity/Q105756866>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"professor of anthropology"@en
"Nigel Smith"@en	<http://www.wikidata.org/entity/Q107156988>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Chairman, Spikes Cavell, 2011–16"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q107165514>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"David Harvey"@en	<http://www.wikidata.org/entity/Q107319345>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"New Zealander who received MNZM for services to the New Zealand Police and the community in June 2020"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q107817301>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"participant in the documentary The Last Victory"@en
"Barbara Hardy"@en	<http://www.wikidata.org/entity/Q108101976>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Australian environmentalist and scientist"@en
"Paul Gilroy"@en	<http://www.wikidata.org/entity/Q108541046>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British QC"@en
"Christopher Freeman"@en	<http://www.wikidata.org/entity/Q1086693>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British economist (1921-2010)"@en
"Chandra Talpade Mohanty"@en	<http://www.wikidata.org/entity/Q1086920>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Indian feminism and women's studies professor"@en
"Julia Cherry Spruill"@en	<http://www.wikidata.org/entity/Q109600388>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American teacher and author"@en
"Mary Douglas"@en	<http://www.wikidata.org/entity/Q109674390>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American sculptor (b. 1956)"@en
"John Demos"@en	<http://www.wikidata.org/entity/Q110238181>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Greek photographer"@en
"Vilfredo Pareto"@en	<http://www.wikidata.org/entity/Q11031>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian economist and sociologist (1848-1923)"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q110318811>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Mary Douglas"@en	<http://www.wikidata.org/entity/Q110423798>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"10 Dec 1755 Bergen op Zoom - 30 May 1793 's-Hertogenbosch"@en
"Aleida Assmann"@en	<http://www.wikidata.org/entity/Q111115>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"German professor of English and Literary Studies"@en
"Robert Kelley"@en	<http://www.wikidata.org/entity/Q111132624>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"photographer"@en
"Steven Feierman"@en	<http://www.wikidata.org/entity/Q111147847>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American Africanist and historian"@en
"Pierre Bourdieu"@en	<http://www.wikidata.org/entity/Q111585888>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French Resistance fighter (1910–1994)"@en
"Josef Breuer"@en	<http://www.wikidata.org/entity/Q111728805>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Josef Breuer"@en	<http://www.wikidata.org/entity/Q111729899>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Josef Breuer"@en	<http://www.wikidata.org/entity/Q111966692>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"David Harvey"@en	<http://www.wikidata.org/entity/Q112287239>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British historian"@en
"James Tully"@en	<http://www.wikidata.org/entity/Q112360361>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Stuart Hall"@en	<http://www.wikidata.org/entity/Q112369997>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"David Harvey"@en	<http://www.wikidata.org/entity/Q112383441>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American analytical chemist"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q112412439>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Robert Gottlieb"@en	<http://www.wikidata.org/entity/Q112470484>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American academic"@en
"Richard Biernacki"@en	<http://www.wikidata.org/entity/Q112475429>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"1956-"@en
"David Douglass"@en	<http://www.wikidata.org/entity/Q112495888>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"conductor, composer, and musician (born 1953)"@en
"Imre Lakatos"@en	<http://www.wikidata.org/entity/Q1127544>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Hungarian journalist and contributing editor (1882-1944)"@en
"Alfred Feilchenfeld"@en	<http://www.wikidata.org/entity/Q113753509>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Aletta Biersack"@en	<http://www.wikidata.org/entity/Q113846165>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	
"Doreen Massey"@en	<http://www.wikidata.org/entity/Q1156266>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"British social scientist and geographer"@en
"Barry Barnes"@en	<http://www.wikidata.org/entity/Q115797454>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"politician from Trinidad and Tobago"@en
"David Ricardo"@en	<http://www.wikidata.org/entity/Q115805294>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Brazilian footballer"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q115957509>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Jean Cavaillès"@en	<http://www.wikidata.org/entity/Q116172410>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q116475442>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"rugby league footballer"@en
"David Ricardo"@en	<http://www.wikidata.org/entity/Q116811983>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"1580 -"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q1174684>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Scottish footballer and manager (born 1948)"@en
"Donny Meertens"@en	<http://www.wikidata.org/entity/Q117727522>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Dutch/Colombian academic"@en
"Henri Wallon"@en	<http://www.wikidata.org/entity/Q117768291>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Daphne Patai"@en	<http://www.wikidata.org/entity/Q1178651>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American writer"@en
"Chandler Davis"@en	<http://www.wikidata.org/entity/Q119557531>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"college basketball player (2021–202_) Southeast Missouri State"@en
"Henry E. Sigerist"@en	<http://www.wikidata.org/entity/Q122000>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Swiss medical historian (1891–1957)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q122834666>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian partisan (1907-1944)"@en
"Sándor Ferenczi"@en	<http://www.wikidata.org/entity/Q12355577>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Hungarian archaeologist"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q123703553>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"rugby league footballer"@en
"Alfred Marshall"@en	<http://www.wikidata.org/entity/Q123730867>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Royal Air Force officer"@en
"Harry Collins"@en	<http://www.wikidata.org/entity/Q124414351>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American fashion designer"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q124643380>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Dick Hughes"@en	<http://www.wikidata.org/entity/Q125266903>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American architect, active in Las Vegas"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q125279422>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian architect"@en
"George E. Marcus"@en	<http://www.wikidata.org/entity/Q125740265>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American political science professor"@en
"Jules Sion"@en	<http://www.wikidata.org/entity/Q126485005>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"(1847-1930)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q126871580>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian clergyman (1855-1938)"@en
