?lab	?p	?g	?gLabel	?desc
"Wang Feng"@en	<http://www.wikidata.org/entity/Q127260435>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Chinese entrepreneur"@en
"Frances James"@en	<http://www.wikidata.org/entity/Q127503896>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	
"Wang Feng"@en	<http://www.wikidata.org/entity/Q12812489>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Chinese mnemonist (born 1990)"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q128238611>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"1826-"@en
"Frances James"@en	<http://www.wikidata.org/entity/Q130258317>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"- Feb 1648"@en
"Mary Douglas"@en	<http://www.wikidata.org/entity/Q130335029>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Oct 1679 - Feb 1737"@en
"Jean-Yves Grenier"@en	<http://www.wikidata.org/entity/Q130529517>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Michael Frisch"@en	<http://www.wikidata.org/entity/Q130768688>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Jean-Yves Grenier"@en	<http://www.wikidata.org/entity/Q130776070>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"William Mason"@en	<http://www.wikidata.org/entity/Q131329049>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"15 Nov 1778 - 24 Dec 1835"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q131705630>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"1764-1847"@en
"Josef Breuer"@en	<http://www.wikidata.org/entity/Q131764331>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q132234193>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"(1954-)"@en
"Ferdinand de Saussure"@en	<http://www.wikidata.org/entity/Q13230>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Swiss linguist and philosopher (1857–1913)"@en
"Albert Sechehaye"@en	<http://www.wikidata.org/entity/Q13234>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Swiss linguist (1870-1946)"@en
"Charles Bally"@en	<http://www.wikidata.org/entity/Q13236>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Swiss linguist (1865-1947)"@en
"George E. Marcus"@en	<http://www.wikidata.org/entity/Q134608156>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American political scientist"@en
"Gonzalo Sánchez"@en	<http://www.wikidata.org/entity/Q135266758>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"basketball player (born 1985)"@en
"Alfred Marshall"@en	<http://www.wikidata.org/entity/Q13529>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British economist (1842–1924)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q136241441>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"basketball player (born 1966)"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q136242246>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian basketball player (born 2005)"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q136408957>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British parasitologist and protozoologist, Major-General"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q136431140>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"(d. 1804); Esq. of Welham, Notts, J.P."@en
"William Mason"@en	<http://www.wikidata.org/entity/Q136431174>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"(d. 1856 unm.); of London, High Sheriff of Notts 1823-4"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q137787818>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Canadian political candidate from British Columbia"@en
"Michel Callon"@en	<http://www.wikidata.org/entity/Q1381779>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French sociologist"@en
"David Harvey"@en	<http://www.wikidata.org/entity/Q139376868>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American politician (1892–1871)"@en
"Judith Butler"@en	<http://www.wikidata.org/entity/Q140285314>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American nurse scientist"@en
"Stuart Hall"@en	<http://www.wikidata.org/entity/Q140421024>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Australian Roman-Catholic priest"@en
"Edward Burnett Tylor"@en	<http://www.wikidata.org/entity/Q141037>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English anthropologist (1832–1917)"@en
"James Tully"@en	<http://www.wikidata.org/entity/Q1436392>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Canadian philosopher"@en
"Frances James"@en	<http://www.wikidata.org/entity/Q1440802>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Canadian soprano (1903-1988)"@en
"Franz Neumann"@en	<http://www.wikidata.org/entity/Q1448392>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"German politician (1904-1974)"@en
"Rita Felski"@en	<http://www.wikidata.org/entity/Q14946842>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American academic"@en
"E. E. Evans-Pritchard"@en	<http://www.wikidata.org/entity/Q150379>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British anthropologist (1902–1973)"@en
"Olive Schreiner"@en	<http://www.wikidata.org/entity/Q151180>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"South African author and pacifist (1855-1920)"@en
"Theodor W. Adorno"@en	<http://www.wikidata.org/entity/Q152388>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"German philosopher, sociologist and theorist (1903–1969)"@en
"Richard Hoggart"@en	<http://www.wikidata.org/entity/Q1534871>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British sociologist (1918-2014)"@en
"James Boswell"@en	<http://www.wikidata.org/entity/Q15462487>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"New Zealand painter, draughtsman (1906-1971)"@en
"Hazel V. Carby"@en	<http://www.wikidata.org/entity/Q15512556>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American academic"@en
"Johann Gottfried Herder"@en	<http://www.wikidata.org/entity/Q155547>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"German philosopher, theologian, poet (1744–1803)"@en
"Pierre Bourdieu"@en	<http://www.wikidata.org/entity/Q156268>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French sociologist, anthropologist, and philosopher (1930–2002)"@en
"James Boswell"@en	<http://www.wikidata.org/entity/Q15917521>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British barrister (the younger)"@en
"Émile Durkheim"@en	<http://www.wikidata.org/entity/Q15948>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French sociologist (1858–1917)"@en
"Julia Kristeva"@en	<http://www.wikidata.org/entity/Q159876>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Bulgarian philosopher, psychoanalyst & academic"@en
"Alfred Marshall"@en	<http://www.wikidata.org/entity/Q15993255>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American businessman"@en
"James Tully"@en	<http://www.wikidata.org/entity/Q16000427>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Australian politician (1877–1962)"@en
"Barrington Moore"@en	<http://www.wikidata.org/entity/Q16004078>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American forester"@en
"Daniel Lerner"@en	<http://www.wikidata.org/entity/Q16009322>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American academic"@en
"Patrick Gardiner"@en	<http://www.wikidata.org/entity/Q16013847>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"philosopher"@en
"David Ricardo"@en	<http://www.wikidata.org/entity/Q160270>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British economist and politician (1772–1823)"@en
"Luli Callinicos"@en	<http://www.wikidata.org/entity/Q16184006>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"South African writer"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q1669188>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British-Austrian operatic bass"@en
"John Law"@en	<http://www.wikidata.org/entity/Q16731294>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"former New Zealand mayor"@en
"Oyèrónkẹ́ Oyěwùmí"@en	<http://www.wikidata.org/entity/Q16733966>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Nigerian academic"@en
"James Tully"@en	<http://www.wikidata.org/entity/Q1681217>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Irish politician (1915-1992)"@en
"Edmund Leach"@en	<http://www.wikidata.org/entity/Q16856545>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British Army officer (1836-1923)"@en
"Linda Tuhiwai Smith"@en	<http://www.wikidata.org/entity/Q16885749>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"New Zealand professor of indigenous education"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q16906238>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Chinese politician (born 1965)"@en
"Quintin Hoare"@en	<http://www.wikidata.org/entity/Q16938681>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British translator"@en
"Ruth Behar"@en	<http://www.wikidata.org/entity/Q1699866>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Jewish Cuban American writer"@en
"Ernest Gellner"@en	<http://www.wikidata.org/entity/Q170078>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Czech anthropologist, philosopher and sociologist"@en
"William Mason"@en	<http://www.wikidata.org/entity/Q17009602>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English writing-master and stenographer"@en
"Josef Breuer"@en	<http://www.wikidata.org/entity/Q1704375>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"German chess composer (1903–1981)"@en
"Judy Wajcman"@en	<http://www.wikidata.org/entity/Q1711168>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"British sociologist and academic"@en
"Hélène Metzger"@en	<http://www.wikidata.org/entity/Q17296722>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"French philosopher (1889-1944)"@en
"Charles Blondel"@en	<http://www.wikidata.org/entity/Q17350081>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French jurist (1895-1975)"@en
"Nigel Smith"@en	<http://www.wikidata.org/entity/Q17462772>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"racing driver"@en
"Paolo Rossi"@en	<http://www.wikidata.org/entity/Q178628>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Italian footballer (1956–2020)"@en
"Margaret Mead"@en	<http://www.wikidata.org/entity/Q180099>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American anthropologist (1901-1978)"@en
"Ann Swidler"@en	<http://www.wikidata.org/entity/Q18155589>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"American sociologist"@en
"Raymond Williams"@en	<http://www.wikidata.org/entity/Q18167166>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"New Zealand rugby union player"@en
"Carl O. Sauer"@en	<http://www.wikidata.org/entity/Q1823362>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American geographer (1889-1975)"@en
"Hubert Hall"@en	<http://www.wikidata.org/entity/Q18528922>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British archivist"@en
"Mikhail Bakhtin"@en	<http://www.wikidata.org/entity/Q185375>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Russian intellectual and philosopher (1895–1975)"@en
"Mary Douglas"@en	<http://www.wikidata.org/entity/Q18576719>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Douglas, Mary Alice (1860–1941), headmistress"@en
"John Law"@en	<http://www.wikidata.org/entity/Q18619383>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British screenwriter (1929-1970)"@en
"Paul Willis"@en	<http://www.wikidata.org/entity/Q18640376>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"English footballer (1970-2011)"@en
"David Douglass"@en	<http://www.wikidata.org/entity/Q18819397>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"actor and theatre manager (1720-1786)"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q18905581>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Tang dynasty person CBDB = 194283"@en
"George Unwin"@en	<http://www.wikidata.org/entity/Q18917646>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"British economic historian & academic"@en
"Samuel P. Huntington"@en	<http://www.wikidata.org/entity/Q19074>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American political scientist (1927–2008)"@en
"Paul Ricœur"@en	<http://www.wikidata.org/entity/Q192066>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French philosopher (1913–2005)"@en
"Wang Feng"@en	<http://www.wikidata.org/entity/Q1930926>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Chinese politician in the Western Han dynasty"@en
"Thomas Babington Macaulay"@en	<http://www.wikidata.org/entity/Q19519573>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Yoruba priest and educator"@en
"Talal Asad"@en	<http://www.wikidata.org/entity/Q1974975>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"anthropologist at the CUNY Graduate Center"@en
"John Hajnal"@en	<http://www.wikidata.org/entity/Q1979030>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Hungarian-British statistical economist (1924–2008)"@en
"Tsien Tsuen-hsuin"@en	<http://www.wikidata.org/entity/Q19801173>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Chinese-American sinologist and librarian (1910–2015)"@en
"Tony Bennett"@en	<http://www.wikidata.org/entity/Q19946119>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American basketball player (born 1984)"@en
"Elizabeth Jelin"@en	<http://www.wikidata.org/entity/Q20016255>	<http://www.wikidata.org/entity/Q6581072>	"female"@en	"Argentinian sociologist (born 1941)"@en
"Edward Said"@en	<http://www.wikidata.org/entity/Q201538>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Palestinian-American professor (1935–2003)"@en
"John Law"@en	<http://www.wikidata.org/entity/Q202872>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American politician (1796-1873)"@en
"Talcott Parsons"@en	<http://www.wikidata.org/entity/Q203913>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American sociologist (1902 – 1979)"@en
"Paul A. David"@en	<http://www.wikidata.org/entity/Q2059246>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American economist (1935–2023)"@en
"Jean-Martin Charcot"@en	<http://www.wikidata.org/entity/Q20710>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"French neurologist (1825–1893)"@en
"Patrick Geary"@en	<http://www.wikidata.org/entity/Q20819510>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Irish speaker in Australia"@en
"Brian Vickers"@en	<http://www.wikidata.org/entity/Q2112545>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"American motor racing driver"@en
"Amílcar Cabral"@en	<http://www.wikidata.org/entity/Q213416>	<http://www.wikidata.org/entity/Q6581097>	"male"@en	"Guinea-Bissauan and Cape Verdean politician (1924-1973)"@en
