?p	?g	?gLabel
<http://www.wikidata.org/entity/Q972178>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q973349>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q973739>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q974852>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q975777>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q967777>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q978237>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q978749>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q982698>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q981217>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q981839>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q981884>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q981891>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q981949>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q982047>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q982865>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q955334>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q956253>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q957553>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q959541>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q982883>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q9061>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q960416>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q960451>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q961244>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q982529>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q962080>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q962296>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q963715>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q964180>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q964668>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q965602>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q966708>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q967052>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q790712>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q7794266>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q7818432>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q783073>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q784368>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q78491>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q78492>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q78504>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q78607>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
