id,title,aliases,publication_role,identity_status,publication_start,publication_end,publication_status,checked_subject_classifications,provisional_subject_classifications,source_ids,issns,languages,date_basis,date_start_kind,bibliographic_record_count,library_subject_heading_count
journal_46deecb8cbb7d2e1,Balkanistica,Balkanistica,periodical_candidate,title_matched_candidate,,,unknown,,Eastern Europe and Balkans,journal_source_sheet_1389,,,,,0,0
journal_ff5dd150e367cfe0,Baltic Journal of Art History,Baltic Journal of Art History,periodical_candidate,bibliographic_metadata_checked,2009,,unknown,,Baltic | Art history,journal_source_sheet_1389 | journal_source_library_71ccd234dfcc07db | journal_source_library_e9105cbd77b75e3a,1736-8812 | 2346-5581,eng,bibliographic_record,catalogued_title_start,2,4
journal_6d71ce68e385494a,Baltic Journal of European Studies,Baltic Journal of European Studies,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_e873131cb889010f,Baltic Region,Baltic Region,periodical_candidate,bibliographic_metadata_checked,2009,,unknown,,Baltic,journal_source_sheet_1389 | journal_source_library_6ee95bdfb4ff90d5,2310-0524,eng,bibliographic_record,catalogued_title_start,1,5
journal_12aa1a6827133fc8,Baptist Quarterly,Baptist Quarterly,periodical_candidate,bibliographic_metadata_checked,,,unknown,,Religion,journal_source_sheet_1389 | journal_source_library_bd40533834cca968 | journal_source_library_7d49118c79b1a375,2056-7731,eng,,,2,6
journal_f7d3388f9f4319cb,Belgisch Tijdschrift voor Nieuwste Geschiedenis/ Revue Belge de Histoire Contemporaine,Belgisch Tijdschrift voor Nieuwste Geschiedenis/ Revue Belge de Histoire Contemporaine,periodical_candidate,title_matched_candidate,,,unknown,,Modern and contemporary,journal_source_sheet_1389,,,,,0,0
journal_e23a14b81e6fe8de,Belleten,Belleten,periodical_candidate,bibliographic_metadata_checked,1937,,unknown,Turkey | Archaeology | Art history | Cultural studies,,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_a49f0a8bb314a11a,0041-4255,tur,bibliographic_record,catalogued_title_start,1,5
journal_50571d41b70f9a9f,Berichte zur Wissenschaftsgeschichte,Berichte zur Wissenschaftsgeschichte,periodical_candidate,bibliographic_metadata_checked,1978,,unknown,Science and technology,,journal_source_sheet_1389 | journal_source_library_821e36b534b547c8,0170-6233,ger,bibliographic_record,catalogued_title_start,1,6
journal_de1d458da6ca9530,Bibliothecae.it,Bibliothecae.it,periodical_candidate,title_matched_candidate,,,unknown,,Media and books,journal_source_sheet_1389,,,,,0,0
journal_37164a4073b220b5,Bibliothèque de l'École des Chartes,Bibliothèque de l'École des Chartes,periodical_candidate,title_matched_candidate,,,unknown,Middle Ages,,journal_source_wikipedia,,,,,0,0
journal_f30c6ea372c84b4f,Biblische Notizen,Biblische Notizen,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_7f3acd239818d0ea,Bijdragen en Mededelingen Betreffende de Geschiedenis der Nederlanden,Bijdragen en Mededelingen Betreffende de Geschiedenis der Nederlanden,periodical_candidate,title_matched_candidate,,,unknown,,Western Europe,journal_source_sheet_1389,,,,,0,0
journal_4a2f99869acda1bc,Biography,Biography,periodical_candidate,bibliographic_metadata_checked,1978,,unknown,Biography and life writing,,journal_source_sheet_1389 | journal_source_library_a1d4eb325b384e13 | journal_source_library_cb5c8afee997562f,0162-4962 | 1529-1456,eng,bibliographic_record,catalogued_title_start,2,11
journal_2c098277f043966a,Biuletyn Polskiej Misji Historycznej,Biuletyn Polskiej Misji Historycznej,periodical_candidate,bibliographic_metadata_checked,,,unknown,Central Europe | Eastern Europe and Balkans | Poland | German-speaking Europe,,journal_source_sheet_1389 | journal_source_library_f772a0ef9195ca78 | journal_source_library_eee4ad29c6d374f8,2083-7755,ger | pol,,,2,15
journal_5a667192f985ac6b,BMGN: Low Countries Historical Review,BMGN: Low Countries Historical Review | BMGN - The Low Countries Historical Review | BMGN-The Low Countries Historical Review,periodical_candidate,title_matched_candidate,,,unknown,Western Europe,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_ooir,,,,,0,0
journal_f0c6589fe317e32f,Boletin de Arte,Boletin de Arte,periodical_candidate,title_matched_candidate,,,unknown,,Art history,journal_source_sheet_1389,,,,,0,0
journal_9a277d82669a191e,Boletin de Filologia,Boletin de Filologia,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_4eb55571a6dbe03c,Boletin de Literatura Oral,Boletin de Literatura Oral,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_3e39bf65eee05f9f,Boletín americanista,Boletín americanista | Boletin Americanista,periodical_candidate,title_matched_candidate,,,unknown,Iberoamerica,,journal_source_wikipedia | journal_source_sheet_1389,,,,,0,0
journal_f0b2ef0ba4673ffe,Boletín de la Academia Chilena de la Historia,Boletín de la Academia Chilena de la Historia,periodical_candidate,title_matched_candidate,,,unknown,Iberoamerica,,journal_source_wikipedia,,,,,0,0
journal_1ae9bdca2d082ef9,Bollettino dell'Istituto Storico Italiano per il Medio Evo,Bollettino dell'Istituto Storico Italiano per il Medio Evo,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_0746da64ae4b3c67,Bollettino Storico - Bibliografico Subalpino,Bollettino Storico - Bibliografico Subalpino,periodical_candidate,bibliographic_metadata_checked,1896,,unknown,Italy,,journal_source_sheet_1389 | journal_source_library_5edd511ec6db54a0 | journal_source_library_fea1cdef5a95c485,0391-6715,ita,bibliographic_record,catalogued_title_start,2,9
journal_5d76ceec2a327733,Book History,Book History,periodical_candidate,bibliographic_metadata_checked,1998,,unknown,Media and books,,journal_source_wikipedia | journal_source_sheet_1389 | journal_source_library_942ca4efc9291b56 | journal_source_library_302133e8e5ae0ccc,1098-7371,eng,bibliographic_record,catalogued_title_start,2,35
journal_0078dc876470cc4c,Boundary 2,Boundary 2,periodical_candidate,bibliographic_metadata_checked,1972,,unknown,,,journal_source_sheet_1389 | journal_source_library_0570332b767eaf3e,0190-3659,eng,bibliographic_record,catalogued_title_start,1,12
journal_7d013896caad74b0,Britain and the World,Britain and the World | Britain and the world,periodical_candidate,title_matched_candidate,,,unknown,Britain,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir,,,,,0,0
journal_010aecbff62b5b33,Britannia,Britannia,periodical_candidate,bibliographic_metadata_checked,1970,,unknown,Britain,,journal_source_sheet_271 | journal_source_ooir | journal_source_library_f7cd1081996c287c,0068-113X,eng,bibliographic_record,catalogued_title_start,1,11
journal_59be02543810c42b,Britannia (Society for the Promotion of Roman Studies),Britannia (Society for the Promotion of Roman Studies),periodical_candidate,title_matched_candidate,,,unknown,,Ancient,journal_source_sheet_1389,,,,,0,0
journal_1b86c431903b1bf8,British Catholic History,British Catholic History,periodical_candidate,bibliographic_metadata_checked,,,unknown,Britain | Religion,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_ef0ca1a93368fdae,2055-7973,eng,,,1,4
journal_e43764bc4921d062,British Journal for the Philosophy of Science,British Journal for the Philosophy of Science,periodical_candidate,title_matched_candidate,,,unknown,Science and technology | Philosophy,,journal_source_sheet_1389,,,,,0,0
journal_6422d080c2ac6f33,British Journal of Canadian Studies,British Journal of Canadian Studies,periodical_candidate,bibliographic_metadata_checked,,,unknown,Canada,,journal_source_sheet_1389 | journal_source_library_0c77bd13c70b3abf | journal_source_library_8bdb631b59e49638,0269-9222,eng | fre,,,2,8
journal_f057c9596fcd4f95,British Journal of Middle Eastern Studies,British Journal of Middle Eastern Studies,periodical_candidate,bibliographic_metadata_checked,,,unknown,Middle East,,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_3662813b15541791,1353-0194,eng,,,1,12
journal_ffa567d19d62bd5c,British Politics,British Politics,periodical_candidate,bibliographic_metadata_checked,2006,,unknown,Politics and public policy | Britain,,journal_source_sheet_1389 | journal_source_library_d19d09937b9117b1 | journal_source_library_231af292e34fb531 | journal_source_library_ae45d00a1cd975d5,1746-918X | 1746-9198,eng,bibliographic_record,catalogued_title_start,3,19
journal_2d999c2dc3301066,Brukenthal. Acta Musei,Brukenthal. Acta Musei,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_a64066bf59ee93bc,Brunei Museum Journal,Brunei Museum Journal,periodical_candidate,title_matched_candidate,,,unknown,Southeast Asia,,journal_source_wikipedia,,,,,0,0
journal_a66fb959357de6d1,Bruniana e Campanelliana,Bruniana e Campanelliana,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_ec750cd785783a4b,Bryn Mawr Classical Review,Bryn Mawr Classical Review,periodical_candidate,bibliographic_metadata_checked,,,unknown,Classical | Classical studies,,journal_source_wikipedia | journal_source_library_9d2465cebe12fe85,1055-7660,eng,,,1,4
journal_ed5a1f8ce75643ac,BSAA Arte,BSAA Arte,periodical_candidate,title_matched_candidate,,,unknown,,Art history,journal_source_sheet_1389,,,,,0,0
journal_faec0feae5de0c04,Buddhist-Christian Studies,Buddhist-Christian Studies,periodical_candidate,bibliographic_metadata_checked,1981,,unknown,Religion,,journal_source_sheet_1389 | journal_source_library_9e74d16395fbb939,0882-0945,eng,bibliographic_record,catalogued_title_start,1,12
journal_c5cabaccb2fb3ba8,Built Heritage,Built Heritage,periodical_candidate,title_matched_candidate,,,unknown,,Heritage and public history,journal_source_sheet_1389,,,,,0,0
journal_d1894d068c7518fa,Bulgarian Historical Review,Bulgarian Historical Review,periodical_candidate,title_matched_candidate,,,unknown,,Eastern Europe and Balkans,journal_source_sheet_1389,,,,,0,0
journal_6d9a343fde3962f1,Bulgarian Historical Review - Revue Bulgare D’Histoire,Bulgarian Historical Review - Revue Bulgare D’Histoire,periodical_candidate,title_matched_candidate,,,unknown,,Eastern Europe and Balkans,journal_source_sheet_271,,,,,0,0
journal_b21b47ff9ec96319,Bulletin de Philosophie Medievale,Bulletin de Philosophie Medievale,periodical_candidate,title_matched_candidate,,,unknown,,Middle Ages | Philosophy,journal_source_sheet_1389,,,,,0,0
journal_51b557fd576f3d61,Bulletin for Spanish and Portuguese Historical Studies,Bulletin for Spanish and Portuguese Historical Studies,periodical_candidate,title_matched_candidate,,,unknown,Western Europe,,journal_source_wikipedia,,,,,0,0
journal_6e7f0665ceede0fb,Bulletin Hispanique,Bulletin Hispanique,periodical_candidate,bibliographic_metadata_checked,,,unknown,Literature,,journal_source_sheet_1389 | journal_source_library_378e72ae8d4e8051,0007-4640,fre,,,1,5
journal_98aa56748935df70,Bulletin of the American Schools of Oriental Research,"Bulletin of the American Schools of Oriental Research | Bulletin of the American Schools of Oriental Research""",periodical_candidate,bibliographic_metadata_checked,,,unknown,Middle East | Archaeology,,journal_source_wikipedia | journal_source_sheet_1389 | journal_source_library_b222b7175d96aa2a | journal_source_library_5ff65763439f8314,0003-097X,eng,,,2,30
journal_0eb39c8dab2b2b17,Bulletin of the American Society of Papyrologists,Bulletin of the American Society of Papyrologists,periodical_candidate,title_matched_candidate,,,unknown,,Papyrology,journal_source_sheet_1389,,,,,0,0
journal_a5f41bc50adf0e15,Bulletin of the History of Medicine,Bulletin of the History of Medicine,periodical_candidate,bibliographic_metadata_checked,,,unknown,Science and technology | Medicine and health,,journal_source_wikipedia | journal_source_sheet_1389 | journal_source_library_fcc1635b8aec9eb9,0007-5140,eng,,,1,8
journal_b31b2029f2cd2052,Bulletin of the Institute of Classical Studies,Bulletin of the Institute of Classical Studies,periodical_candidate,title_matched_candidate,,,unknown,,Classical,journal_source_sheet_1389,,,,,0,0
journal_47fceb9e834398b1,Bulletin of the Institute of History and Philology Academia Sinica,Bulletin of the Institute of History and Philology Academia Sinica,periodical_candidate,title_matched_candidate,,,unknown,,Language and linguistics,journal_source_sheet_271 | journal_source_sheet_1389,,,,,0,0
journal_d58a79497985b87e,Bulletin of the National Museum of Japanese History,Bulletin of the National Museum of Japanese History,periodical_candidate,title_matched_candidate,,,unknown,East Asia,,journal_source_wikipedia,,,,,0,0
journal_5689235a2cfb9110,Bulletin of the School of Oriental and African Studies,Bulletin of the School of Oriental and African Studies,periodical_candidate,title_matched_candidate,,,unknown,,Africa,journal_source_sheet_1389,,,,,0,0
journal_b851ca2febbdeefb,Bulletin of Ugric Studies,Bulletin of Ugric Studies,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_69b32aaa614295f7,Business History,Business History,periodical_candidate,bibliographic_metadata_checked,1958,,unknown,"Business, labor and economics",,journal_source_wikipedia | journal_source_sheet_1389 | journal_source_library_3c3d8bc7f3827259 | journal_source_library_b48aeec679c85fab,0007-6791 | 1743-7938,eng,bibliographic_record,catalogued_title_start,2,18
journal_fa4aae87371aab2a,Business History Review,Business History Review,periodical_candidate,title_matched_candidate,,,unknown,"Business, labor and economics",,journal_source_wikipedia | journal_source_sheet_1389,,,,,0,0
journal_fdceba6666bdce96,Bylye Gody,Bylye Gody,periodical_candidate,bibliographic_metadata_checked,2006,,unknown,,,journal_source_sheet_1389 | journal_source_library_364d807b69b6e08f | journal_source_library_5205fb27533065b3,2073-9745 | 2310-0028,rus,bibliographic_record,catalogued_title_start,2,9
journal_a3e53202eab11d6f,Byron Journal,Byron Journal,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_95ce869bb6a03290,BYU Studies Quarterly,BYU Studies Quarterly,periodical_candidate,bibliographic_metadata_checked,,,unknown,,,journal_source_sheet_1389 | journal_source_library_860e89f3c9c734d5,2167-8472,eng,,,1,4
journal_c33e4e9209691a8a,Byzantin Symmeikta,Byzantin Symmeikta,periodical_candidate,title_matched_candidate,,,unknown,,Ancient | Middle Ages,journal_source_sheet_1389,,,,,0,0
journal_403bb965634db9b0,Byzantine and Modern Greek Studies,Byzantine and Modern Greek Studies,periodical_candidate,bibliographic_metadata_checked,1975,,unknown,Greece,Ancient | Middle Ages,journal_source_sheet_1389 | journal_source_library_8dac2f57321ab33c | journal_source_library_3bf2c07dbccf0e4e | journal_source_library_aed4daadd4153590,0307-0131 | 1749-625X,eng,bibliographic_record,catalogued_title_start,3,18
journal_501dbe26b910746b,Byzantinische Zeitschrift,Byzantinische Zeitschrift,periodical_candidate,bibliographic_metadata_checked,,,unknown,,Ancient | Middle Ages,journal_source_sheet_1389 | journal_source_library_ec4ff4350ee1515e | journal_source_library_5ea0e14b14143649,0007-7704 | 1868-9027,eng | fre | ger | ita,,,2,55
journal_143316980706a039,Byzantinoslavica,Byzantinoslavica,periodical_candidate,bibliographic_metadata_checked,1929,,unknown,Slavic studies,Eastern Europe and Balkans | Ancient | Middle Ages,journal_source_sheet_1389 | journal_source_library_15b1c10ca957c00e,0007-7712,cze,bibliographic_record,catalogued_title_start,1,20
journal_c3e983c49552aa1f,Byzantion Nea Hellas,Byzantion Nea Hellas,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_af2cbd58a18f2f7a,Byzantion: Revue Internationale des Etudes Byzantines,Byzantion: Revue Internationale des Etudes Byzantines,periodical_candidate,title_matched_candidate,,,unknown,,Ancient | Middle Ages,journal_source_sheet_1389,,,,,0,0
journal_938e71e94232fe90,Cahiers d'Economie Politique,Cahiers d'Economie Politique,periodical_candidate,title_matched_candidate,,,unknown,,"Business, labor and economics",journal_source_sheet_1389,,,,,0,0
journal_87706469d3bea435,Cahiers d'Etudes Africaines,Cahiers d'Etudes Africaines,periodical_candidate,title_matched_candidate,,,unknown,Africa | Latin America and Caribbean | African diaspora studies | Anthropology and ethnography,,journal_source_sheet_1389,,,,,0,0
journal_784caadad232086a,Cahiers de Civilisation Medievale,Cahiers de Civilisation Medievale,periodical_candidate,title_matched_candidate,,,unknown,,Middle Ages,journal_source_sheet_1389,,,,,0,0
journal_cc0994c4fffcf676,Cahiers du Monde Russe,Cahiers du Monde Russe,periodical_candidate,bibliographic_metadata_checked,,,unknown,Slavic studies | Russia and Eurasia,,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_983b2419b7324c71,1252-6576,fre,,,1,18
journal_bf830db75590534b,Cahiers Elisabethains,Cahiers Elisabethains,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_3e25012edc96e37a,California History,California History,periodical_candidate,bibliographic_metadata_checked,,,unknown,United States,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_ooir | journal_source_library_4fc27997c5561792 | journal_source_library_42b8787cd67ec02e | journal_source_library_bbf65ea9224f70f1 | journal_source_library_158ea661c98318f2,0162-2897 | 2327-1485,eng,,,4,11
journal_f14a45888af40ee8,Caliope,Caliope,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_e90afc8401772ad5,Cambrian Medieval Celtic Studies,Cambrian Medieval Celtic Studies,periodical_candidate,title_matched_candidate,,,unknown,Britain,,journal_source_wikipedia | journal_source_sheet_1389,,,,,0,0
journal_333b82c26dc75984,Cambridge Journal of Postcolonial Literary Inquiry,Cambridge Journal of Postcolonial Literary Inquiry,periodical_candidate,title_matched_candidate,,,unknown,,Colonialism and empire | Literature,journal_source_sheet_1389,,,,,0,0
journal_26e146c743e47244,Canada's History,Canada's History,periodical_candidate,title_matched_candidate,,,unknown,Canada,,journal_source_wikipedia,,,,,0,0
journal_264c39cda506d1ec,Canadian Historical Review,Canadian Historical Review,periodical_candidate,bibliographic_metadata_checked,,,unknown,Canada,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_fa19113ced8925fe,0008-3755,eng,,,1,14
journal_63f8f849444ca43d,Canadian Journal of African Studies,Canadian Journal of African Studies,periodical_candidate,title_matched_candidate,,,unknown,,Africa,journal_source_sheet_1389,,,,,0,0
journal_f6a173602547c4fe,Canadian Journal of History,Canadian Journal of History,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_4f98bebd6b9ddf34,Canadian Journal of History/Annales canadiennes d'histoire,Canadian Journal of History/Annales canadiennes d'histoire,periodical_candidate,title_matched_candidate,,,unknown,General history,,journal_source_wikipedia,,,,,0,0
journal_2e73fa5b49d7b14b,Canadian Review of American Studies,Canadian Review of American Studies,periodical_candidate,bibliographic_metadata_checked,1970,,unknown,Canada | United States,,journal_source_sheet_1389 | journal_source_library_ddafa537bd1ecb30,0007-7720,eng,bibliographic_record,catalogued_title_start,1,2
journal_d54faa61334ccd90,Canadian Slavonic Papers,Canadian Slavonic Papers,periodical_candidate,bibliographic_metadata_checked,,,unknown,Slavic studies,,journal_source_sheet_1389 | journal_source_library_e4522d2e52cad70e | journal_source_library_d56d2d038d9727f7,0008-5006 | 2375-2475,eng,,,2,9
journal_a4c0b4b2652fa872,Canadian Studies in Population,Canadian Studies in Population,periodical_candidate,bibliographic_metadata_checked,1974,,unknown,Demography and family | Canada,,journal_source_sheet_1389 | journal_source_library_f3cb9eb78c6b16bc | journal_source_library_019f5528d0ed4fb9,0380-1489,eng | fre,bibliographic_record,catalogued_title_start,2,9
journal_65d46ad09961fe91,Canadian-American Slavic Studies,Canadian-American Slavic Studies,periodical_candidate,bibliographic_metadata_checked,,,unknown,Slavic studies | Russia and Eurasia | Eastern Europe and Balkans,,journal_source_sheet_1389 | journal_source_library_7639a5ad0429d1ce | journal_source_library_a4ceb5e07ad44419,0090-8290 | 2210-2396,eng | fre | rus,,,2,33
journal_22bcfbc8d91ac05e,Capital and Class,Capital and Class,periodical_candidate,bibliographic_metadata_checked,,,unknown,Socialism and related political traditions,"Business, labor and economics",journal_source_sheet_1389 | journal_source_library_293dedc6a3ae964d | journal_source_library_1149632412acce5c | journal_source_library_0a8ef8b42c104b0d,0309-8168 | 2041-0980,eng,,,3,35
journal_8316088edf71188e,Capitale Culturale,Capitale Culturale,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_63804d8e1774d9d3,Caribbean Quarterly,Caribbean Quarterly,periodical_candidate,bibliographic_metadata_checked,1949,,unknown,,Latin America and Caribbean,journal_source_sheet_1389 | journal_source_library_d53a37c43d2a0b40 | journal_source_library_3235014be164b905 | journal_source_library_3dfda4080f3f879c,0008-6495 | 2470-6302,eng,bibliographic_record,catalogued_title_start,3,12
journal_a4a46b09b233a09e,Cartagine. Studi e Ricerche,Cartagine. Studi e Ricerche,periodical_candidate,bibliographic_metadata_checked,2016,,unknown,Mediterranean,,journal_source_sheet_1389 | journal_source_library_5e96b7f0b1f7813f,2532-1110,eng | fre | ita | spa,bibliographic_record,catalogued_title_start,1,8
journal_74a9c4a5d677c475,Carte e la Storia,Carte e la Storia,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_959bec82722c258c,Casopis Matice moravske (1968),Casopis Matice moravske (1968),periodical_candidate,title_matched_candidate,,,unknown,,Eastern Europe and Balkans,journal_source_sheet_1389,,,,,0,0
journal_c0d2499667fa7cf7,Casopis za Suvremenu Povijest,Casopis za Suvremenu Povijest,periodical_candidate,title_matched_candidate,,,unknown,,Modern and contemporary,journal_source_sheet_1389,,,,,0,0
journal_6983a79586ee9ce5,Catalan Historical Review,Catalan Historical Review,periodical_candidate,bibliographic_metadata_checked,2008,,unknown,,Iberia,journal_source_sheet_1389 | journal_source_library_cee07cddb2078e40 | journal_source_library_161f33d6eda87d84,2013-407X,cat | eng,bibliographic_record,catalogued_title_start,2,19
journal_18e78caa4599ff04,Catalan Review,Catalan Review,periodical_candidate,bibliographic_metadata_checked,1986,,unknown,,Iberia,journal_source_sheet_1389 | journal_source_library_20a8d6d5d2c8710f | journal_source_library_6686c668249623d9,0213-5949 | 2053-339X,cat | eng,bibliographic_record,catalogued_title_start,2,9
journal_31cbfa08a711a200,Caucasus Survey,Caucasus Survey,periodical_candidate,bibliographic_metadata_checked,,,unknown,Caucasus,Russia and Eurasia,journal_source_sheet_1389 | journal_source_library_419059fcb676ff1f | journal_source_library_69d3dad084240536,2376-1199 | 2376-1202,eng,,,2,7
journal_c234c6c00846d8e3,Centaurus,Centaurus,periodical_candidate,bibliographic_metadata_checked,1950,,unknown,Science and technology | Medicine and health,,journal_source_wikipedia | journal_source_library_0261d80106bc78d1,0008-8994,eng,bibliographic_record,catalogued_title_start,1,10
journal_671685ac69c70324,Central Asian Survey,Central Asian Survey,periodical_candidate,bibliographic_metadata_checked,1982,,unknown,Asia | East Asia | Eastern Europe and Balkans | Central Asia,,journal_source_wikipedia | journal_source_library_dbb38b643faaef6d,0263-4937,eng,bibliographic_record,catalogued_title_start,1,6
journal_6005d9c1a648b5b6,Central Asiatic Journal,Central Asiatic Journal,periodical_candidate,bibliographic_metadata_checked,1955,,unknown,Central Asia | Language and linguistics | Literature | Archaeology,,journal_source_sheet_1389 | journal_source_library_88caefe16be6e470,0008-9192,eng,bibliographic_record,catalogued_title_start,1,4
journal_64cf927ba34d3582,Central European History,Central European History,periodical_candidate,bibliographic_metadata_checked,1968,,unknown,Western Europe | Central Europe,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_6a55c7ce66c562ec | journal_source_library_68fefd2e6e4372e3,0008-9389 | 1569-1616,eng,bibliographic_record,catalogued_title_start,2,14
journal_a0ae88b76c920656,Cercetari Arheologice,Cercetari Arheologice,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_246c2aa004a6219e,Cercles,Cercles,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_125db79fc2397840,Cesky Casopis Historicky,Cesky Casopis Historicky,periodical_candidate,title_matched_candidate,,,unknown,General history,,journal_source_sheet_1389,,,,,0,0
journal_b51ee74d0e3a9f45,Change Over Time,Change Over Time,periodical_candidate,bibliographic_metadata_checked,2011,,unknown,Architectural | Heritage and public history,,journal_source_wikipedia | journal_source_sheet_1389 | journal_source_library_2a1919d2041828f3 | journal_source_library_d71851f06c77ded7,2153-053X,eng,bibliographic_record,catalogued_title_start,2,14
journal_04f984e90a9f28a4,China Comment (半月谈),China Comment (半月谈),primary_source_periodical,title_matched_candidate,,,unknown,Chinese studies resources,,journal_source_toronto,,,,,0,0
journal_32ba2d54190fcded,China Reconstructs magazine,China Reconstructs magazine,primary_source_periodical,title_matched_candidate,,,unknown,Chinese studies resources,,journal_source_toronto,,,,,0,0
journal_66b6501a8569a9e5,Chinese Historical Review,Chinese Historical Review,periodical_candidate,title_matched_candidate,,,unknown,East Asia,,journal_source_wikipedia | journal_source_sheet_1389,,,,,0,0
journal_422a2a3e5b661577,Chinese Studies in History,Chinese Studies in History,periodical_candidate,bibliographic_metadata_checked,,,unknown,General history | East Asia,,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_f05bf56dd184ca43 | journal_source_library_63d42cf471a8f300 | journal_source_library_f95f82f8b286a620,0009-4633 | 1558-0407,chi | eng,,,3,9
journal_5dc5b55b25b77906,Chronique d'Egypte,Chronique d'Egypte,periodical_candidate,title_matched_candidate,,,unknown,,Egypt,journal_source_sheet_1389,,,,,0,0
journal_7b94787a9b8edf12,Church History,Church History,periodical_candidate,bibliographic_metadata_checked,1932,,unknown,Religion,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_ooir | journal_source_library_e4cead56749b07c1,0009-6407,eng,bibliographic_record,catalogued_title_start,1,6
journal_3d173a064b1993c6,Church History and Religious Culture,Church History and Religious Culture,periodical_candidate,bibliographic_metadata_checked,,,unknown,Religion,,journal_source_sheet_1389 | journal_source_library_cd3f33b99710a17a | journal_source_library_b7c1021df72ac0d3,1871-241X | 1871-2428,eng | fre | ger,,,2,19
journal_7e2d7c8848f7e248,Ciceroniana On Line,Ciceroniana On Line,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_b6c5c9b574698cc8,Citeaux,Citeaux,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_09e1c50ecbbc3984,Cithara,Cithara,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_adc191866244d967,Civil War History,Civil War History,periodical_candidate,bibliographic_metadata_checked,1955,,unknown,United States,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_library_d15f6a382190efd6,0009-8078,eng,bibliographic_record,catalogued_title_start,1,6
journal_a3290bc9067147eb,Civil Wars,Civil Wars,periodical_candidate,bibliographic_metadata_checked,1998,,unknown,Military,Politics and public policy,journal_source_sheet_1389 | journal_source_library_374b637d14179572 | journal_source_library_96e9a25ae019d24b,1369-8249 | 1743-968X,eng,bibliographic_record,catalogued_title_start,2,9
journal_80fa3202eed343b9,Classical Quarterly,Classical Quarterly,periodical_candidate,title_matched_candidate,,,unknown,,Classical,journal_source_sheet_1389,,,,,0,0
journal_87e5aa5d8e5339e0,Clio,Clio,periodical_candidate,ambiguous_title,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_89f2e42586e7ec49,Clio - A Journal of Literature History and the Philosophy of History,Clio - A Journal of Literature History and the Philosophy of History,periodical_candidate,title_matched_candidate,,,unknown,,Ideas and historiography | Literature | Philosophy,journal_source_sheet_271,,,,,0,0
journal_5fceb21db4f89624,"Clio: Histoire, Femmes et Societes","Clio: Histoire, Femmes et Societes",periodical_candidate,title_matched_candidate,,,unknown,,Gender and sexuality,journal_source_sheet_1389,,,,,0,0
