slug,source_dir,md5,bytes,lines,pages,title_guess,ocr_flag,dup_of,local_text_path,text_exists,text_sha256,review_status
wrigley1988_malthus_on_the_prospects_for_the_labouri,pdf,0a11104bc105dcd68889baf162393ea8,62521,1003,19,Malthus on the Prospects for the Labouring Poor,,,/home/jic823/capitalism/pdf/wrigley1988_malthus_on_the_prospects_for_the_labouri.txt,True,d4aa3b478c41b87a956d273868966fa38d18138575543a7c4447ad5677a73924,inventory_only
wrigley1988_the_limits_to_growth_malthus_and_the_cla,pdf,b6421f888b3915824a10bd2c15a2e7c1,65259,1111,21,The Limits to Growth: Malthus and the Classical Economists,,,/home/jic823/capitalism/pdf/wrigley1988_the_limits_to_growth_malthus_and_the_cla.txt,True,e7eafbd88befd46d447f3b7ef3fac625db158ac367266cfbfe23ae1296d372de,inventory_only
wrigley1991_city_and_country_in_the_past_a_sharp_div,pdf,7a71cb15240c7d23e5fb27e99519cf0e,57050,674,15,H I S T O R I C A L RESEARCH,,,/home/jic823/capitalism/pdf/wrigley1991_city_and_country_in_the_past_a_sharp_div.txt,True,48707f37d424571f8f965c596e02ab11c6b37aec3cc3d36819160f93f922769c,inventory_only
wrigley1993_historic_demography_and_economy,pdf,19aa80de8593c15bb3d45aba356de4b6,44317,1056,17,HISTORIC DEMOGRAPHY AND ECONOMY,,,/home/jic823/capitalism/pdf/wrigley1993_historic_demography_and_economy.txt,True,4c4ecbb7daf777878069969b2094f4a932a7c256e7d12038240e1a750bd53752,inventory_only
wrigley1997_how_reliable_is_our_knowledge_of_the_dem,pdf,ff70d4c0d3eb55fda173321c6322a358,89644,1555,27,How Reliable is Our Knowledge of the Demographic Characteristics of the English,,,/home/jic823/capitalism/pdf/wrigley1997_how_reliable_is_our_knowledge_of_the_dem.txt,True,c1aebf7a295b496b91b0c3a1fa76a28f9605ceb2c9582d27e9b160309bd71bcb,inventory_only
wrigley1998_explaining_the_rise_in_marital_fertility,pdf,1c4ae93bb0d8591aad6cfef17cb23932,109459,1963,32,Explaining the Rise in Marital Fertility in England in the 'Long' Eighteenth Century,,,/home/jic823/capitalism/pdf/wrigley1998_explaining_the_rise_in_marital_fertility.txt,True,f4f7cad51b1f0abbf2e6d4d4440265b6e3f17660ffcc5593afefea392f697611,inventory_only
wrigley1998_small_scale_but_not_parochial_the_work_o,pdf,2d7d68cfe1b1132e9feaacdf01f3554b,34786,539,12,Family & Community History,,,/home/jic823/capitalism/pdf/wrigley1998_small_scale_but_not_parochial_the_work_o.txt,True,005894ef1fe3afbc893144dc2a23f71619f25d174ff83e1cd4b0da0f4eb79733,inventory_only
wrigley1999_corn_and_crisis_malthus_on_the_high_pric,pdf,1f011a24a363cc52991ddc688366ae06,2577,7,9,"17284457, 1999, 1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1111/j.1728-4457.1999.00121.x by University Of",,,/home/jic823/capitalism/pdf/wrigley1999_corn_and_crisis_malthus_on_the_high_pric.txt,True,bb2698d8a7abe028de88067e05106e55d174ff9a1643cc3f3d68fcdbdf344c93,inventory_only
wrigley1999_the_review_during_the_last_50_years,pdf,01928c415eaf1902c2d7ffd7e21758e5,81491,1130,22,The Review during the last 50,,,/home/jic823/capitalism/pdf/wrigley1999_the_review_during_the_last_50_years.txt,True,e78ad4906b4b5ac1ba86fa08c60e18bbe9af6e91de7bbf81cdeb6a8b71377492,inventory_only
wrigley2000_the_divergence_of_england_the_growth_of,pdf,6a8af1e08cb1abe9c2179a284fc07bb6,74867,1348,27,The Divergence of England: The Growth of the English Economy in the Seventeenth,,,/home/jic823/capitalism/pdf/wrigley2000_the_divergence_of_england_the_growth_of.txt,True,98b6edcd18b292755a9534c774747f98db92d421ea5c8e1468ec09d9c516d9e4,inventory_only
wrigley2007_english_county_populations_in_the_later,pdf,dd0933b6f39b1018f568a6d9fab8b158,170038,1848,36,"Blackwell Publishing Ltd.Oxford, UK and Malden, USAEHRThe Economic History Review0013-0117Economic History Society 20062",,,/home/jic823/capitalism/pdf/wrigley2007_english_county_populations_in_the_later.txt,True,75295d43688cf0dd6b6b45d58003e83f56ed46ee1f2b718a52a7efd44fce54d8,inventory_only
wrigley2009_rickman_revisited_the_population_growth,pdf,5089c59af0f1ad870d2c25aefbb45acf,134693,1389,26,"Economic History Review, 62, 3 (2009), pp. 711–735",,,/home/jic823/capitalism/pdf/wrigley2009_rickman_revisited_the_population_growth.txt,True,ba913fd3fe51231022c567364c01011594690b284a94ed4dd14233b5175700de,inventory_only
wrigley2010,pdf,f616f012a261c8485a93fc762b06d2a5,624065,14282,289,This page intentionally left blank,,,/home/jic823/capitalism/pdf/wrigley2010.txt,True,d542bede24da1d8f623a1b8a2353b365b36dc146e49cce9dc9647d25b90d5d59,inventory_only
