id,cat,strand,tags,type,year,authors,title,venue
fem-bradbury-workingfamilies-1993,feminist,economic_household,"[""Canada"", ""household"", ""labour"", ""family""]",monograph,1993,"[""Bettina Bradbury""]","Working Families: Age, Gender, and Daily Survival in Industrializing Montreal",McClelland & Stewart
fem-sangster-earningrespect-1995,feminist,economic_household,"[""Canada"", ""gender"", ""labour""]",monograph,1995,"[""Joan Sangster""]","Earning Respect: The Lives of Working Women in Small-Town Ontario, 1920-1960",University of Toronto Press
fem-baron-workengendered-1991,feminist,economic_household,"[""gender"", ""labour"", ""theory""]",edited_volume,1991,"[""Ava Baron""]",Work Engendered: Toward a New History of American Labor,Cornell University Press
fem-gamber-femaleeconomy-1997,feminist,economic_household,"[""gender"", ""business"", ""entrepreneurship"", ""garment""]",monograph,1997,"[""Wendy Gamber""]","The Female Economy: The Millinery and Dressmaking Trades, 1860-1930",University of Illinois Press
fem-lemire-fashions-1991,feminist,consumption,"[""cotton"", ""consumer-society"", ""gender"", ""material-culture"", ""absent-beckert""]",monograph,1991,"[""Beverly Lemire""]","Fashion's Favourite: The Cotton Trade and the Consumer in Britain, 1660-1800",Oxford University Press / Pasold
fem-lemire-everyday-2005,feminist,economic_household,"[""gender"", ""informal-economy"", ""material-culture"", ""Britain""]",monograph,2005,"[""Beverly Lemire""]","The Business of Everyday Life: Gender, Practice and Social Politics in England, c.1600-1900",Manchester University Press
fem-lemire-globaltrade-2018,feminist,consumption,"[""consumer-society"", ""material-culture"", ""global"", ""cotton""]",monograph,2018,"[""Beverly Lemire""]","Global Trade and the Transformation of Consumer Cultures: The Material World Remade, c.1500-1820",Cambridge University Press
fem-belisle-retail-2011,feminist,consumption,"[""Canada"", ""consumer-society"", ""gender"", ""retail"", ""absent-beckert""]",monograph,2011,"[""Donica Belisle""]",Retail Nation: Department Stores and the Making of Modern Canada,UBC Press
fem-belisle-purchasing-2020,feminist,consumption,"[""Canada"", ""consumer-society"", ""gender"", ""absent-beckert""]",monograph,2020,"[""Donica Belisle""]",Purchasing Power: Women and the Rise of Canadian Consumer Culture,University of Toronto Press
fem-degrazia-sexofthings-1996,feminist,consumption,"[""gender"", ""consumer-society""]",edited_volume,1996,"[""Victoria de Grazia"", ""Ellen Furlough""]",The Sex of Things: Gender and Consumption in Historical Perspective,University of California Press
fem-degrazia-irresistible-2005,feminist,consumption,"[""gender"", ""consumer-society"", ""empire"", ""America""]",monograph,2005,"[""Victoria de Grazia""]",Irresistible Empire: America's Advance through Twentieth-Century Europe,Belknap Press of Harvard University Press
fem-benson-counter-1986,feminist,consumption,"[""gender"", ""consumer-society"", ""retail"", ""labour""]",monograph,1986,"[""Susan Porter Benson""]","Counter Cultures: Saleswomen, Managers, and Customers in American Department Stores, 1890-1940",University of Illinois Press
fem-rappaport-shopping-2000,feminist,consumption,"[""gender"", ""consumer-society"", ""retail"", ""urban""]",monograph,2000,"[""Erika Rappaport""]",Shopping for Pleasure: Women in the Making of London's West End,Princeton University Press
fem-wright-feminine-1992,feminist,consumption,"[""Canada"", ""gender"", ""consumer-society"", ""method""]",essay,1992,"[""Cynthia Wright""]",'Feminine Trifles of Vast Importance': Writing Gender into the History of Consumption,Gender Conflicts (University of Toronto Press)
fem-federici-caliban-2004,feminist,social_reproduction,"[""reproduction"", ""primitive-accumulation"", ""gender"", ""theory""]",monograph,2004,"[""Silvia Federici""]","Caliban and the Witch: Women, the Body and Primitive Accumulation",Autonomedia
fem-bhattacharya-srt-2017,feminist,social_reproduction,"[""reproduction"", ""theory"", ""class""]",edited_volume,2017,"[""Tithi Bhattacharya""]","Social Reproduction Theory: Remapping Class, Recentering Oppression",Pluto Press
fem-dallacosta-james-power-1972,feminist,social_reproduction,"[""reproduction"", ""theory"", ""wages-for-housework""]",essay,1972,"[""Mariarosa Dalla Costa"", ""Selma James""]",The Power of Women and the Subversion of the Community,Falling Wall Press
fem-fortunati-arcane-1981,feminist,social_reproduction,"[""reproduction"", ""theory"", ""value""]",monograph,1981,"[""Leopoldina Fortunati""]","The Arcane of Reproduction: Housework, Prostitution, Labor and Capital","Marsilio (1981); Autonomedia (1995, English)"
rac-robinson-blackmarxism-1983,racial_capitalism,,"[""theory"", ""Black-radical-tradition""]",monograph,1983,"[""Cedric J. Robinson""]",Black Marxism: The Making of the Black Radical Tradition,Zed Press
rac-cox-castclassrace-1948,racial_capitalism,,"[""theory"", ""antecedent""]",monograph,1948,"[""Oliver Cromwell Cox""]","Caste, Class, and Race: A Study in Social Dynamics",Doubleday
rac-jenkins-leroy-histories-2021,racial_capitalism,,"[""theory"", ""NHC-critique"", ""finance""]",edited_volume,2021,"[""Destin Jenkins"", ""Justin Leroy""]",Histories of Racial Capitalism,Columbia University Press
rac-kelley-whatdidrobinson-2017,racial_capitalism,,"[""theory"", ""essay""]",essay,2017,"[""Robin D. G. Kelley""]",What Did Cedric Robinson Mean by Racial Capitalism?,Boston Review
rac-melamed-racialcapitalism-2015,racial_capitalism,,"[""theory""]",article,2015,"[""Jodi Melamed""]",Racial Capitalism,Critical Ethnic Studies
rac-melamed-represent-2011,racial_capitalism,,"[""theory"", ""liberalism"", ""20c""]",monograph,2011,"[""Jodi Melamed""]",Represent and Destroy: Rationalizing Violence in the New Racial Capitalism,University of Minnesota Press
rac-singh-primitive-2016,racial_capitalism,,"[""theory"", ""primitive-accumulation""]",article,2016,"[""Nikhil Pal Singh""]","On Race, Violence, and So-Called Primitive Accumulation",Social Text
rac-singh-longwar-2017,racial_capitalism,,"[""theory"", ""state"", ""empire"", ""carceral""]",monograph,2017,"[""Nikhil Pal Singh""]",Race and America's Long War,University of California Press
rac-hudson-bankers-2017,racial_capitalism,,"[""finance"", ""Caribbean"", ""empire""]",monograph,2017,"[""Peter James Hudson""]",Bankers and Empire: How Wall Street Colonized the Caribbean,University of Chicago Press
rac-baradaran-colorofmoney-2017,racial_capitalism,,"[""finance"", ""banking"", ""wealth-gap""]",monograph,2017,"[""Mehrsa Baradaran""]",The Color of Money: Black Banks and the Racial Wealth Gap,Belknap Press of Harvard University Press
rac-garrettscott-banking-2019,racial_capitalism,,"[""finance"", ""gender"", ""Black-women""]",monograph,2019,"[""Shennette Garrett-Scott""]",Banking on Freedom: Black Women in U.S. Finance Before the New Deal,Columbia University Press
rac-jenkins-bonds-2021,racial_capitalism,,"[""finance"", ""debt"", ""municipal"", ""urban""]",monograph,2021,"[""Destin Jenkins""]",The Bonds of Inequality: Debt and the Making of the American City,University of Chicago Press
rac-taylor-raceforprofit-2019,racial_capitalism,,"[""finance"", ""housing"", ""predatory-inclusion""]",monograph,2019,"[""Keeanga-Yamahtta Taylor""]",Race for Profit: How Banks and the Real Estate Industry Undermined Black Homeownership,University of North Carolina Press
rac-horne-counterrev1776-2014,racial_capitalism,,"[""slavery"", ""revolution"", ""origins""]",monograph,2014,"[""Gerald Horne""]",The Counter-Revolution of 1776: Slave Resistance and the Origins of the United States of America,New York University Press
rac-horne-apocalypse-2018,racial_capitalism,,"[""slavery"", ""settler-colonialism"", ""origins"", ""Caribbean""]",monograph,2018,"[""Gerald Horne""]","The Apocalypse of Settler Colonialism: The Roots of Slavery, White Supremacy, and Capitalism in 17th Century North America and the Caribbean",Monthly Review Press
rac-gilmore-goldengulag-2007,racial_capitalism,,"[""carceral"", ""geography"", ""California""]",monograph,2007,"[""Ruth Wilson Gilmore""]","Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California",University of California Press
rac-ralph-forensics-2015,racial_capitalism,,"[""finance"", ""valuation"", ""credit""]",monograph,2015,"[""Michael Ralph""]",Forensics of Capital,University of Chicago Press
rac-hall-articulation-1980,racial_capitalism,,"[""theory"", ""antecedent""]",essay,1980,"[""Stuart Hall""]","Race, Articulation and Societies Structured in Dominance",Sociological Theories: Race and Colonialism (UNESCO)
rac-neptune-shade-2019,racial_capitalism,,"[""NHC-critique"", ""Eric-Williams"", ""Caribbean""]",article,2019,"[""H. Reuben Neptune""]",Throwin' Scholarly Shade: Eric Williams in the New Histories of Capitalism and Slavery,Journal of the Early Republic
rac-burdenstelly-modern-2020,racial_capitalism,,"[""theory"", ""superexploitation""]",article,2020,"[""Charisse Burden-Stelly""]",Modern U.S. Racial Capitalism: Some Theoretical Insights,Monthly Review
ind-coulthard-redskin-2014,indigenous,,"[""theory"", ""primitive-accumulation"", ""Canada"", ""standpoint""]",monograph,2014,"[""Glen Sean Coulthard""]","Red Skin, White Masks: Rejecting the Colonial Politics of Recognition",University of Minnesota Press
ind-nichols-theft-2020,indigenous,,"[""theory"", ""primitive-accumulation"", ""property""]",monograph,2020,"[""Robert Nichols""]",Theft Is Property! Dispossession and Critical Theory,Duke University Press
ind-wolfe-elimination-2006,indigenous,,"[""theory"", ""settler-colonialism"", ""structure""]",article,2006,"[""Patrick Wolfe""]",Settler Colonialism and the Elimination of the Native,Journal of Genocide Research
ind-wolfe-traces-2016,indigenous,,"[""theory"", ""race"", ""settler-colonialism""]",monograph,2016,"[""Patrick Wolfe""]",Traces of History: Elementary Structures of Race,Verso
ind-veracini-settler-2010,indigenous,,"[""theory"", ""settler-colonialism""]",monograph,2010,"[""Lorenzo Veracini""]",Settler Colonialism: A Theoretical Overview,Palgrave Macmillan
ind-byrd-transit-2011,indigenous,,"[""theory"", ""critique"", ""empire""]",monograph,2011,"[""Jodi A. Byrd""]",The Transit of Empire: Indigenous Critiques of Colonialism,University of Minnesota Press
ind-blackhawk-violence-2006,indigenous,,"[""history"", ""violence"", ""West"", ""standpoint""]",monograph,2006,"[""Ned Blackhawk""]",Violence over the Land: Indians and Empires in the Early American West,Harvard University Press
ind-blackhawk-rediscovery-2023,indigenous,,"[""history"", ""synthesis"", ""standpoint""]",monograph,2023,"[""Ned Blackhawk""]",The Rediscovery of America: Native Peoples and the Unmaking of U.S. History,Yale University Press
ind-witgen-seeingred-2021,indigenous,,"[""history"", ""political-economy"", ""plunder"", ""primitive-accumulation""]",monograph,2021,"[""Michael John Witgen""]","Seeing Red: Indigenous Land, American Expansion, and the Political Economy of Plunder in North America",Omohundro Institute / University of North Carolina Press
ind-witgen-infinity-2011,indigenous,,"[""history"", ""sovereignty"", ""Great-Lakes""]",monograph,2011,"[""Michael Witgen""]",An Infinity of Nations: How the Native New World Shaped Early North America,University of Pennsylvania Press
ind-estes-ourhistory-2019,indigenous,,"[""history"", ""resistance"", ""standpoint"", ""infrastructure""]",monograph,2019,"[""Nick Estes""]","Our History Is the Future: Standing Rock Versus the Dakota Access Pipeline, and the Long Tradition of Indigenous Resistance",Verso
ind-karuka-empirestracks-2019,indigenous,,"[""railroads"", ""finance"", ""racial-capitalism"", ""countersovereignty"", ""Chinese-labour""]",monograph,2019,"[""Manu Karuka""]","Empire's Tracks: Indigenous Nations, Chinese Workers, and the Transcontinental Railroad",University of California Press
ind-asimpson-mohawk-2014,indigenous,,"[""theory"", ""sovereignty"", ""refusal"", ""Canada""]",monograph,2014,"[""Audra Simpson""]",Mohawk Interruptus: Political Life Across the Borders of Settler States,Duke University Press
ind-lbsimpson-aswehave-2017,indigenous,,"[""theory"", ""resurgence"", ""land"", ""Canada""]",monograph,2017,"[""Leanne Betasamosake Simpson""]",As We Have Always Done: Indigenous Freedom through Radical Resistance,University of Minnesota Press
ind-treuer-heartbeat-2019,indigenous,,"[""history"", ""survivance"", ""20c""]",monograph,2019,"[""David Treuer""]",The Heartbeat of Wounded Knee: Native America from 1890 to the Present,Riverhead Books
ind-brooks-belovedkin-2018,indigenous,,"[""history"", ""standpoint"", ""method"", ""kinship""]",monograph,2018,"[""Lisa Brooks""]",Our Beloved Kin: A New History of King Philip's War,Yale University Press
ind-reid-seaismycountry-2015,indigenous,,"[""history"", ""maritime"", ""sovereignty"", ""economy""]",monograph,2015,"[""Joshua L. Reid""]",The Sea Is My Country: The Maritime World of the Makahs,Yale University Press
ind-dunbarortiz-indigenous-2014,indigenous,,"[""history"", ""synthesis"", ""genocide"", ""standpoint""]",monograph,2014,"[""Roxanne Dunbar-Ortiz""]",An Indigenous Peoples' History of the United States,Beacon Press
ind-ostler-surviving-2019,indigenous,,"[""history"", ""genocide"", ""policy""]",monograph,2019,"[""Jeffrey Ostler""]",Surviving Genocide: Native Nations and the United States from the American Revolution to Bleeding Kansas,Yale University Press
ind-madley-americangenocide-2016,indigenous,,"[""history"", ""genocide"", ""California""]",monograph,2016,"[""Benjamin Madley""]","An American Genocide: The United States and the California Indian Catastrophe, 1846-1873",Yale University Press
ind-banner-lostland-2005,indigenous,,"[""history"", ""law"", ""property"", ""dispossession""]",monograph,2005,"[""Stuart Banner""]",How the Indians Lost Their Land: Law and Power on the Frontier,Harvard University Press
ind-moretonrobinson-whitepossessive-2015,indigenous,,"[""theory"", ""property"", ""whiteness"", ""sovereignty""]",monograph,2015,"[""Aileen Moreton-Robinson""]","The White Possessive: Property, Power, and Indigenous Sovereignty",University of Minnesota Press
ind-bhandar-colonial-2018,indigenous,,"[""theory"", ""law"", ""property"", ""race""]",monograph,2018,"[""Brenna Bhandar""]","Colonial Lives of Property: Law, Land, and Racial Regimes of Ownership",Duke University Press
ind-pasternak-grounded-2017,indigenous,,"[""theory"", ""jurisdiction"", ""Canada"", ""sovereignty""]",monograph,2017,"[""Shiri Pasternak""]",Grounded Authority: The Algonquins of Barriere Lake against the State,University of Minnesota Press
dec-quijano-coloniality-2000,decolonial,,"[""theory"", ""coloniality"", ""race""]",article,2000,"[""Aníbal Quijano""]","Coloniality of Power, Eurocentrism, and Latin America",Nepantla: Views from South
dec-quijano-wallerstein-americanity-1992,decolonial,,"[""theory"", ""world-system"", ""origins""]",article,1992,"[""Aníbal Quijano"", ""Immanuel Wallerstein""]","Americanity as a Concept, or the Americas in the Modern World-System",International Social Science Journal
dec-mignolo-localhistories-2000,decolonial,,"[""theory"", ""epistemology"", ""border-thinking""]",monograph,2000,"[""Walter D. Mignolo""]","Local Histories/Global Designs: Coloniality, Subaltern Knowledges, and Border Thinking",Princeton University Press
dec-mignolo-darkerside-2011,decolonial,,"[""theory"", ""modernity"", ""extraction""]",monograph,2011,"[""Walter D. Mignolo""]","The Darker Side of Western Modernity: Global Futures, Decolonial Options",Duke University Press
dec-dussel-invention-1992,decolonial,,"[""theory"", ""modernity"", ""conquest"", ""origins""]",monograph,1992,"[""Enrique Dussel""]",The Invention of the Americas: Eclipse of 'the Other' and the Myth of Modernity,Continuum
dec-lugones-heterosexualism-2007,decolonial,,"[""theory"", ""gender"", ""coloniality""]",article,2007,"[""María Lugones""]",Heterosexualism and the Colonial/Modern Gender System,Hypatia
dec-lugones-decolonialfeminism-2010,decolonial,,"[""theory"", ""gender"", ""standpoint"", ""feminism""]",article,2010,"[""María Lugones""]",Toward a Decolonial Feminism,Hypatia
dec-maldonadotorres-being-2007,decolonial,,"[""theory"", ""coloniality"", ""being""]",article,2007,"[""Nelson Maldonado-Torres""]",On the Coloniality of Being: Contributions to the Development of a Concept,Cultural Studies
dec-escobar-encountering-1995,decolonial,,"[""theory"", ""development"", ""discourse""]",monograph,1995,"[""Arturo Escobar""]",Encountering Development: The Making and Unmaking of the Third World,Princeton University Press
dec-grosfoguel-epistemic-2007,decolonial,,"[""theory"", ""NHC-adjacent-critique"", ""world-system""]",article,2007,"[""Ramón Grosfoguel""]",The Epistemic Decolonial Turn: Beyond Political-Economy Paradigms,Cultural Studies
dec-mignolo-walsh-decoloniality-2018,decolonial,,"[""theory"", ""praxis"", ""Andes""]",monograph,2018,"[""Walter D. Mignolo"", ""Catherine E. Walsh""]","On Decoloniality: Concepts, Analytics, Praxis",Duke University Press
dec-wynter-unsettling-2003,decolonial,,"[""theory"", ""the-human"", ""race"", ""Caribbean""]",article,2003,"[""Sylvia Wynter""]","Unsettling the Coloniality of Being/Power/Truth/Freedom: Towards the Human, After Man, Its Overrepresentation—An Argument",CR: The New Centennial Review
dec-coronil-magicalstate-1997,decolonial,,"[""oil"", ""nature"", ""Venezuela"", ""extractivism""]",monograph,1997,"[""Fernando Coronil""]","The Magical State: Nature, Money, and Modernity in Venezuela",University of Chicago Press
dec-mariategui-seven-1928,decolonial,,"[""antecedent"", ""Marxism"", ""Indigenous"", ""Peru""]",monograph,1928,"[""José Carlos Mariátegui""]",Seven Interpretive Essays on Peruvian Reality,Biblioteca Amauta
dec-gudynas-extractivisms-2018,decolonial,,"[""extractivism"", ""theory"", ""environment""]",essay,2018,"[""Eduardo Gudynas""]",Extractivisms: Tendencies and Consequences,Routledge (Reframing Latin American Development)
dec-svampa-neoextractivism-2019,decolonial,,"[""extractivism"", ""theory"", ""conflict"", ""environment""]",monograph,2019,"[""Maristella Svampa""]","Neo-extractivism in Latin America: Socio-environmental Conflicts, the Territorial Turn, and New Political Narratives",Cambridge University Press (Elements)
dec-svampa-commodities-2015,decolonial,,"[""extractivism"", ""commons"", ""theory""]",article,2015,"[""Maristella Svampa""]",Commodities Consensus: Neoextractivism and Enclosure of the Commons in Latin America,South Atlantic Quarterly
dec-acosta-extractivism-2013,decolonial,,"[""extractivism"", ""post-development"", ""buen-vivir""]",essay,2013,"[""Alberto Acosta""]",Extractivism and Neoextractivism: Two Sides of the Same Curse,Beyond Development (TNI / Rosa Luxemburg Foundation)
dec-gago-neoliberalism-2014,decolonial,,"[""theory"", ""neoliberalism"", ""popular-economy"", ""standpoint""]",monograph,2014,"[""Verónica Gago""]",Neoliberalism from Below: Popular Pragmatics and Baroque Economies,Duke University Press
dec-gomezbarris-extractivezone-2017,decolonial,,"[""extractivism"", ""ecology"", ""decolonial"", ""standpoint""]",monograph,2017,"[""Macarena Gómez-Barris""]",The Extractive Zone: Social Ecologies and Decolonial Perspectives,Duke University Press
dec-rivera-chixi-2012,decolonial,,"[""theory"", ""Andean"", ""praxis"", ""standpoint""]",article,2012,"[""Silvia Rivera Cusicanqui""]",Ch'ixinakax utxiwa: A Reflection on the Practices and Discourses of Decolonization,South Atlantic Quarterly
env-cushman-guano-2013,commodity_environmental,,"[""guano"", ""environment"", ""Pacific"", ""labour"", ""absent-beckert""]",monograph,2013,"[""Gregory T. Cushman""]",Guano and the Opening of the Pacific World: A Global Ecological History,Cambridge University Press
env-mitman-rubber-2021,commodity_environmental,,"[""rubber"", ""Liberia"", ""plantation"", ""labour""]",monograph,2021,"[""Gregg Mitman""]",Empire of Rubber: Firestone's Scramble for Land and Power in Liberia,The New Press
env-tully-devilsmilk-2011,commodity_environmental,,"[""rubber"", ""labour"", ""social-history""]",monograph,2011,"[""John Tully""]",The Devil's Milk: A Social History of Rubber,Monthly Review Press
env-liu-teawar-2020,commodity_environmental,,"[""tea"", ""China"", ""India"", ""labour"", ""capitalism"", ""kept-edge-case""]",monograph,2020,"[""Andrew B. Liu""]",Tea War: A History of Capitalism in China and India,Yale University Press
env-rappaport-thirst-2017,commodity_environmental,,"[""tea"", ""empire"", ""consumption"", ""plantation""]",monograph,2017,"[""Erika Rappaport""]",A Thirst for Empire: How Tea Shaped the Modern World,Princeton University Press
env-mccook-coffee-2019,commodity_environmental,,"[""coffee"", ""environment"", ""disease"", ""agroecology""]",monograph,2019,"[""Stuart McCook""]",Coffee Is Not Forever: A Global History of the Coffee Leaf Rust,Ohio University Press
env-soluri-banana-2005,commodity_environmental,,"[""bananas"", ""environment"", ""Honduras"", ""disease"", ""absent-beckert""]",monograph,2005,"[""John Soluri""]","Banana Cultures: Agriculture, Consumption, and Environmental Change in Honduras and the United States",University of Texas Press
env-chomsky-westindian-1996,commodity_environmental,,"[""bananas"", ""labour"", ""race"", ""Costa-Rica""]",monograph,1996,"[""Aviva Chomsky""]","West Indian Workers and the United Fruit Company in Costa Rica, 1870-1940",Louisiana State University Press
env-barak-poweringempire-2020,commodity_environmental,,"[""coal"", ""energy"", ""Middle-East"", ""carbon"", ""absent-beckert""]",monograph,2020,"[""On Barak""]",Powering Empire: How Coal Made the Middle East and Sparked Global Carbonization,University of California Press
env-santiago-ecologyofoil-2006,commodity_environmental,,"[""oil"", ""environment"", ""labour"", ""Mexico""]",monograph,2006,"[""Myrna I. Santiago""]","The Ecology of Oil: Environment, Labor, and the Mexican Revolution, 1900-1938",Cambridge University Press
env-worster-dustbowl-1979,commodity_environmental,,"[""wheat"", ""environment"", ""plains"", ""capitalism""]",monograph,1979,"[""Donald Worster""]",Dust Bowl: The Southern Plains in the 1930s,Oxford University Press
env-cunfer-greatplains-2005,commodity_environmental,,"[""wheat"", ""environment"", ""plains"", ""GIS"", ""revisionist"", ""Saskatchewan""]",monograph,2005,"[""Geoff Cunfer""]",On the Great Plains: Agriculture and Environment,Texas A&M University Press
env-worster-rivers-1985,commodity_environmental,,"[""water"", ""agriculture"", ""West"", ""power""]",monograph,1985,"[""Donald Worster""]","Rivers of Empire: Water, Aridity, and the Growth of the American West",Pantheon Books
env-demuth-floatingcoast-2019,commodity_environmental,,"[""marine"", ""fur"", ""Arctic"", ""energy"", ""Indigenous"", ""absent-beckert""]",monograph,2019,"[""Bathsheba Demuth""]",Floating Coast: An Environmental History of the Bering Strait,W. W. Norton
env-walker-ainu-2001,commodity_environmental,,"[""fur"", ""fisheries"", ""Japan"", ""Ainu"", ""Indigenous""]",monograph,2001,"[""Brett L. Walker""]","The Conquest of Ainu Lands: Ecology and Culture in Japanese Expansion, 1590-1800",University of California Press
