id,cat,strand,tags,type,year,authors,title,venue
fem-white-arnt-1985,feminist,slavery,"[""gender"", ""slavery""]",monograph,1985,"[""Deborah Gray White""]",Ar'n't I a Woman? Female Slaves in the Plantation South,W. W. Norton
fem-spillers-mamasbaby-1987,feminist,slavery,"[""gender"", ""slavery"", ""theory""]",article,1987,"[""Hortense J. Spillers""]","Mama's Baby, Papa's Maybe: An American Grammar Book",Diacritics
fem-carby-reconstructing-1987,feminist,slavery,"[""gender"", ""slavery""]",monograph,1987,"[""Hazel V. Carby""]",Reconstructing Womanhood: The Emergence of the Afro-American Woman Novelist,Oxford University Press
fem-bush-slavewomen-1990,feminist,slavery,"[""gender"", ""slavery"", ""Caribbean"", ""reproduction""]",monograph,1990,"[""Barbara Bush""]","Slave Women in Caribbean Society, 1650–1838",Indiana University Press
fem-davis-reflections-1971,feminist,slavery,"[""gender"", ""slavery"", ""resistance""]",article,1971,"[""Angela Y. Davis""]",Reflections on the Black Woman's Role in the Community of Slaves,The Black Scholar
fem-hartman-scenes-1997,feminist,slavery,"[""gender"", ""slavery"", ""theory"", ""archive""]",monograph,1997,"[""Saidiya V. Hartman""]","Scenes of Subjection: Terror, Slavery, and Self-Making in Nineteenth-Century America",Oxford University Press
fem-morgan-laboring-2004,feminist,slavery,"[""gender"", ""slavery"", ""reproduction""]",monograph,2004,"[""Jennifer L. Morgan""]",Laboring Women: Reproduction and Gender in New World Slavery,University of Pennsylvania Press
fem-camp-closer-2004,feminist,slavery,"[""gender"", ""slavery"", ""resistance""]",monograph,2004,"[""Stephanie M. H. Camp""]",Closer to Freedom: Enslaved Women and Everyday Resistance in the Plantation South,University of North Carolina Press
fem-miles-ties-2005,feminist,slavery,"[""gender"", ""slavery"", ""Indigenous"", ""kinship""]",monograph,2005,"[""Tiya Miles""]",Ties That Bind: The Story of an Afro-Cherokee Family in Slavery and Freedom,University of California Press
fem-berry-swing-2007,feminist,slavery,"[""gender"", ""slavery"", ""labour""]",monograph,2007,"[""Daina Ramey Berry""]",Swing the Sickle for the Harvest Is Ripe: Gender and Slavery in Antebellum Georgia,University of Illinois Press
fem-smallwood-saltwater-2007,feminist,slavery,"[""slavery"", ""middle-passage"", ""archive""]",monograph,2007,"[""Stephanie E. Smallwood""]",Saltwater Slavery: A Middle Passage from Africa to American Diaspora,Harvard University Press
fem-hartman-loseyourmother-2007,feminist,slavery,"[""slavery"", ""archive"", ""diaspora""]",monograph,2007,"[""Saidiya Hartman""]",Lose Your Mother: A Journey Along the Atlantic Slave Route,"Farrar, Straus and Giroux"
fem-glymph-outofhouse-2008,feminist,slavery,"[""gender"", ""slavery"", ""household"", ""violence""]",monograph,2008,"[""Thavolia Glymph""]",Out of the House of Bondage: The Transformation of the Plantation Household,Cambridge University Press
fem-hartman-venus-2008,feminist,slavery,"[""slavery"", ""archive"", ""theory"", ""method""]",essay,2008,"[""Saidiya Hartman""]",Venus in Two Acts,Small Axe
fem-fuentes-dispossessed-2016,feminist,slavery,"[""gender"", ""slavery"", ""archive"", ""Caribbean""]",monograph,2016,"[""Marisa J. Fuentes""]","Dispossessed Lives: Enslaved Women, Violence, and the Archive",University of Pennsylvania Press
fem-mustakeem-slaveryatsea-2016,feminist,slavery,"[""gender"", ""slavery"", ""middle-passage""]",monograph,2016,"[""Sowandé M. Mustakeem""]","Slavery at Sea: Terror, Sex, and Sickness in the Middle Passage",University of Illinois Press
fem-berry-pound-2017,feminist,slavery,"[""slavery"", ""valuation"", ""finance""]",monograph,2017,"[""Daina Ramey Berry""]","The Price for Their Pound of Flesh: The Value of the Enslaved, from Womb to Grave in the Building of a Nation",Beacon Press
fem-hunter-bound-2017,feminist,slavery,"[""gender"", ""slavery"", ""kinship""]",monograph,2017,"[""Tera W. Hunter""]",Bound in Wedlock: Slave and Free Black Marriage in the Nineteenth Century,Belknap Press of Harvard University Press
fem-jonesrogers-property-2019,feminist,slavery,"[""gender"", ""slavery"", ""ownership""]",monograph,2019,"[""Stephanie E. Jones-Rogers""]",They Were Her Property: White Women as Slave Owners in the American South,Yale University Press
fem-johnson-wickedflesh-2020,feminist,slavery,"[""gender"", ""slavery"", ""Atlantic"", ""intimacy""]",monograph,2020,"[""Jessica Marie Johnson""]","Wicked Flesh: Black Women, Intimacy, and Freedom in the Atlantic World",University of Pennsylvania Press
fem-morgan-reckoning-2021,feminist,slavery,"[""gender"", ""slavery"", ""reproduction"", ""capitalism"", ""method""]",monograph,2021,"[""Jennifer L. Morgan""]","Reckoning with Slavery: Gender, Kinship, and Capitalism in the Early Black Atlantic",Duke University Press
fem-miles-allthatshecarried-2021,feminist,slavery,"[""gender"", ""slavery"", ""material-culture"", ""kinship""]",monograph,2021,"[""Tiya Miles""]","All That She Carried: The Journey of Ashley's Sack, a Black Family Keepsake",Random House
fem-stevenson-blackwhite-1996,feminist,slavery,"[""gender"", ""slavery"", ""family""]",monograph,1996,"[""Brenda E. Stevenson""]",Life in Black and White: Family and Community in the Slave South,Oxford University Press
fem-craig-backwoods-2009,feminist,economic_household,"[""Canada"", ""household"", ""consumer-society"", ""gender""]",monograph,2009,"[""Beatrice Craig""]",Backwoods Consumers and Homespun Capitalists: The Rise of a Market Culture in Eastern Canada,University of Toronto Press
fem-craig-womenbusiness-2016,feminist,economic_household,"[""gender"", ""business"", ""entrepreneurship""]",monograph,2016,"[""Beatrice Craig""]",Women and Business since 1500: Invisible Presences in Europe and North America?,Palgrave Macmillan
fem-boydston-homeandwork-1990,feminist,economic_household,"[""gender"", ""household"", ""labour"", ""reproduction""]",monograph,1990,"[""Jeanne Boydston""]","Home and Work: Housework, Wages, and the Ideology of Labor in the Early Republic",Oxford University Press
fem-kesslerharris-outtowork-1982,feminist,economic_household,"[""gender"", ""labour"", ""wage""]",monograph,1982,"[""Alice Kessler-Harris""]",Out to Work: A History of Wage-Earning Women in the United States,Oxford University Press
fem-kesslerharris-womanswage-1990,feminist,economic_household,"[""gender"", ""wage"", ""theory""]",monograph,1990,"[""Alice Kessler-Harris""]",A Woman's Wage: Historical Meanings and Social Consequences,University Press of Kentucky
fem-stanley-bondage-1998,feminist,economic_household,"[""gender"", ""contract"", ""emancipation"", ""household""]",monograph,1998,"[""Amy Dru Stanley""]","From Bondage to Contract: Wage Labor, Marriage, and the Market in the Age of Slave Emancipation",Cambridge University Press
